"1","Chesbro","Tshibaka","Blank","Exhausted","Overvote"
"House District 1","2022","3187","166","1496","17"
"House District 10","2528","3329","55","1229","12"
"House District 11","3042","3898","19","1224","7"
"House District 12","2858","2828","107","967","14"
"House District 13","2463","2269","123","916","19"
"House District 14","2945","2010","30","1150","20"
"House District 15","2933","3512","30","1228","6"
"House District 16","3786","2882","148","1240","12"
"House District 17","3627","1587","94","1140","17"
"House District 18","925","987","19","357","9"
"House District 19","1838","1168","21","687","14"
"House District 2","2551","3036","65","1907","8"
"House District 20","2549","2010","105","781","24"
"House District 21","3207","2790","123","1171","22"
"House District 22","1500","1703","36","714","11"
"House District 23","2584","4576","34","1133","9"
"House District 24","2133","4854","87","905","17"
"House District 25","2456","4784","220","886","32"
"House District 26","1287","5202","37","665","22"
"House District 27","1198","4875","40","546","19"
"House District 28","1443","4934","78","626","17"
"House District 29","1989","5071","229","902","29"
"House District 3","3946","3106","45","1695","12"
"House District 30","1819","5329","43","921","23"
"House District 31","1968","2382","27","934","19"
"House District 32","973","1947","45","437","4"
"House District 33","1215","4167","133","726","15"
"House District 34","2471","4053","34","1113","22"
"House District 35","3537","3170","25","1139","7"
"House District 36","2330","4186","161","1253","22"
"House District 37","1270","1207","80","1082","26"
"House District 38","1494","1063","62","1115","29"
"House District 39","1590","1031","27","1142","27"
"House District 4","4317","1828","193","1358","17"
"House District 40","905","785","106","670","10"
"House District 5","2076","2518","113","1271","11"
"House District 6","3161","5078","70","1525","13"
"House District 7","1558","4873","35","965","12"
"House District 8","1694","6149","100","833","17"
"House District 9","4244","4358","108","1564","10"
"House District 99","82","9","0","13","0"
"Total","92514","128731","3273","41626","653"
