"1","Clayton","Clayton","Clayton","Clayton","Clayton","Clayton","Clayton","Clayton","Clayton","Clayton","Clayton","Clayton","Clayton","Overvote","Wilson","Wilson","Wilson","Wilson","Wilson","Wilson","Wilson","Wilson","Wilson","Wilson","Wilson","Wilson","Wilson","Wright","Wright","Wright","Wright","Wright","Wright","Wright","Wright","Wright","Wright","Wright","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Blank"
"2","","Overvote","Wilson","Wilson","Wilson","Wilson","Wright","Wright","Wright","Wright","Write-in","Write-in","Write-in","","","Clayton","Clayton","Clayton","Clayton","Overvote","Wright","Wright","Wright","Wright","Write-in","Write-in","Write-in","","Clayton","Clayton","Clayton","Overvote","Wilson","Wilson","Wilson","Write-in","Write-in","Write-in","","Clayton","Clayton","Clayton","Overvote","Wilson","Wilson","Wright","Wright","Wright",""
"3","","","","Overvote","Wright","Write-in","","Overvote","Wilson","Write-in","","Wilson","Wright","","","","Overvote","Wright","Write-in","","","Clayton","Overvote","Write-in","","Clayton","Wright","","","Wilson","Write-in","","","Clayton","Write-in","","Clayton","Wilson","","","Wilson","Wright","","","Wright","","Clayton","Wilson",""
"House District 27","617","4","107","1","587","5","124","1","234","1","2","1","2","7","1195","169","0","444","3","2","145","398","0","3","5","2","0","628","118","249","1","1","131","404","0","1","0","0","40","0","5","1","0","1","0","3","2","6","1028"
"House District 28","470","0","78","0","162","1","123","0","429","1","2","1","1","9","1319","137","1","287","2","4","214","825","2","0","6","2","1","721","150","274","3","5","145","529","2","3","4","2","58","2","6","9","1","1","2","0","2","1","1101"
"Total","1087","4","185","1","749","6","247","1","663","2","4","2","3","16","2514","306","1","731","5","6","359","1223","2","3","11","4","1","1349","268","523","4","6","276","933","2","4","4","2","98","2","11","10","1","2","2","3","4","7","2129"
