"1","Prax","Write-in","Blank"
"33-130 Badger No. 1","835","14","120"
"33-135 Chena Lakes","849","16","87"
"33-155 Moose Creek","94","2","20"
"33-165 Newby","1008","21","111"
"33-175 North Pole","468","8","58"
"33-183 Plack","851","11","94"
"District 33 - Absentee","546","40","178"
"District 33 - Early Voting","535","23","106"
"District 33  - Question","63","1","97"
"Total","5249","136","871"
