"1","Hannan","Hannan","Hannan","Harmon","Harmon","Harmon","Harmon","Overvote","Write-in","Write-in","Write-in","Write-in","Blank"
"2","","Harmon","Write-in","","Hannan","Overvote","Write-in","","","Hannan","Harmon","Overvote",""
"04-100 Douglas","319","110","1","63","21","0","0","1","3","0","1","0","52"
"04-105 Juneau Airport Area","99","33","0","74","30","0","1","0","9","0","3","0","44"
"04-110 Juneau No. 1","268","92","4","70","29","0","2","0","5","1","1","0","55"
"04-115 Juneau No. 2","381","88","3","41","18","0","1","0","4","0","1","0","29"
"04-120 Juneau No. 3","161","52","3","42","11","0","1","0","1","1","1","0","26"
"04-125 Lemon Creek","182","94","0","86","56","0","3","0","4","1","1","0","61"
"04-130 Glacier Valley Area","140","84","2","89","39","0","2","0","5","0","0","0","55"
"04-135 North Douglas","279","78","3","66","15","0","2","0","2","0","1","0","44"
"District 4 - Absentee","861","183","6","131","38","1","8","0","14","1","5","1","145"
"District 4 - Early Voting","1431","353","11","262","111","0","7","0","14","2","4","0","171"
"District 4  - Question","77","39","1","25","15","0","0","1","2","0","1","0","142"
"Total","4198","1206","34","949","383","1","27","2","63","6","19","1","824"
