"1","Stein/Ware","West/Abdullah","Blank","Exhausted","Overvote"
"16-450 West Anchorage No. 1","95","47","7","510","1"
"16-455 West Anchorage No. 2","124","85","3","584","3"
"16-460 West Anchorage No. 3","146","113","9","782","4"
"16-465 West Anchorage No. 4","93","45","5","393","0"
"16-470 West Anchorage No. 5","124","68","6","712","0"
"16-475 West Anchorage No. 6","94","65","5","604","2"
"16-480 West Anchorage No. 7","100","59","3","455","3"
"17-505 Downtown Anchorage No. 1","47","13","3","284","0"
"17-510 Downtown Anchorage No. 2","85","41","4","364","0"
"17-515 Downtown Anchorage No. 3","42","29","4","270","2"
"17-520 Downtown Anchorage No. 4","129","69","4","431","3"
"17-525 Downtown Anchorage No. 5","89","44","1","295","4"
"17-530 Downtown Anchorage No. 6","73","21","1","213","8"
"17-535 Downtown Anchorage No. 7","89","51","1","303","3"
"18-550 Government Hill","52","32","2","333","0"
"18-555 JBER No.1","92","52","3","684","1"
"18-556 JBER No.2","46","14","0","178","0"
"18-560 North Muldoon","46","28","3","272","2"
"18-565 Ship Creek","14","9","0","63","0"
"19-605 Airport Heights No. 1","138","40","2","542","2"
"19-610 Airport Heights No. 2","78","45","2","597","1"
"19-615 Mountainview No. 1","79","49","0","272","2"
"19-620 Mountainview No. 2","59","36","1","282","2"
"19-625 South Mountainview","60","29","1","371","1"
"20-650 University No. 1","60","29","0","177","4"
"20-655 University No. 2","134","74","4","706","2"
"20-660 University No. 3","166","67","3","672","11"
"20-665 University No. 4","76","34","2","313","2"
"20-670 University No. 5","197","123","11","969","12"
"21-705 East Anchorage No. 1","96","46","4","545","3"
"21-710 East Anchorage No. 2","117","63","2","620","2"
"21-715 East Anchorage No. 3","181","86","7","835","8"
"21-720 East Anchorage No. 4","120","61","2","670","5"
"21-725 East Anchorage No. 5","206","87","4","913","7"
"22-750 Northeast Anchorage No. 1","136","96","3","588","3"
"22-755 Northeast Anchorage No. 2","113","106","0","538","9"
"22-760 Northeast Anchorage No. 3","118","89","5","674","7"
"22-765 Northeast Anchorage No. 4","88","70","4","396","16"
"23-805 Chugach Park No. 1","126","95","5","840","0"
"23-810 Eagle River No. 1","77","49","5","499","2"
"23-815 Eagle River No. 2","89","64","7","519","2"
"23-820 Hiland","77","47","2","511","1"
"23-825 Meadow Creek No. 1","103","55","3","561","1"
"23-830 Meadow Creek No. 2","51","25","1","343","3"
"24-850 Chugach Park No. 2","74","27","8","567","3"
"24-855 Chugiak","49","21","1","297","0"
"24-860 Eagle River No. 3","73","50","3","488","0"
"24-865 Eklutna","77","43","1","518","3"
"24-870 Fire Lake","94","49","3","575","4"
"24-875 Peters Creek No. 1","112","48","8","813","2"
"24-880 Peters Creek No. 2","62","30","1","433","0"
"25-305 Butte","148","69","12","977","2"
"25-310 Greater Palmer","75","23","3","440","1"
"25-315 Lazy Mountain","98","38","3","647","2"
"25-320 Palmer City No. 1","62","43","3","442","1"
"25-325 Palmer City No. 2","98","42","2","419","1"
"25-330 Springer Loop","86","37","5","623","0"
"25-335 Walby","94","38","7","528","3"
"26-350 Fairview No. 1","61","25","1","411","0"
"26-355 Fairview No. 2","59","21","1","311","2"
"26-360 Knik Goose Bay No. 1","125","45","6","999","1"
"26-365 Knik Goose Bay No. 2","90","23","3","667","0"
"26-370 Knik Goose Bay No. 3","58","28","1","423","0"
"26-375 Mat-Su Campus","84","27","5","514","3"
"26-380 Snowshoe","113","37","0","836","1"
"27-405 Foothills","85","35","4","589","3"
"27-410 Meadow Lakes No. 1","115","44","3","904","1"
"27-415 Meadow Lakes No. 2","96","37","7","755","1"
"27-420 Wasilla No. 1","90","51","6","590","5"
"27-425 Wasilla No. 2","111","36","8","787","1"
"28-450 Lakes No. 1","77","34","4","475","0"
"28-455 Lakes No. 2","42","17","4","343","0"
"28-460 Seldon No. 1","68","29","3","853","0"
"28-465 Seldon No. 2","129","59","7","753","2"
"28-470 Seward Meridian","43","23","4","333","0"
"28-475 Trunk","105","36","6","608","4"
"28-480 Wasilla Lake","45","29","1","320","0"
"29-505 Farm Loop","100","43","4","829","1"
"29-510 Fishhook","153","65","8","1170","2"
"29-515 Kings Lake","95","43","3","742","2"
"29-520 Lakes No. 3","39","19","1","294","0"
"29-525 Sheep Mountain","8","2","1","138","1"
"29-530 Sutton","57","24","2","421","0"
"29-535 Valdez No. 1","51","24","3","397","0"
"29-540 Valdez No. 2","31","13","1","178","1"
"29-545 Valdez No. 3","53","18","4","302","2"
"30-550 Anderson/Clear","4","7","0","126","0"
"30-555 Big Lake","105","73","8","1002","6"
"30-560 Cantwell","15","7","1","63","0"
"30-565 Denali Park","24","6","0","42","0"
"30-570 East Schrock","18","8","0","64","0"
"30-575 Healy","49","27","1","297","0"
"30-580 Houston","46","38","0","438","3"
"30-585 Knik Goose Bay No. 4","103","69","6","937","0"
"30-590 Trapper Creek","11","3","1","103","1"
"30-595 Susitna","51","24","3","419","0"
"30-600 Talkeetna","55","16","3","186","0"
"30-605 Willow","76","53","5","858","4"
"31-446 Aurora","91","93","5","703","0"
"31-455 Fairbanks No. 1","125","88","7","716","5"
"31-480 Fairbanks No. 2","125","103","12","671","3"
"31-485 Fairbanks No. 3","133","111","3","615","12"
"32-355 Fairbanks No. 4","119","87","4","591","3"
"32-365 Fairbanks No. 5","79","55","3","450","2"
"32-375 Fort Wainwright","58","50","0","267","2"
"32-385 Badger No. 2","144","79","6","949","2"
"33-130 Badger No. 1","160","60","4","952","7"
"33-135 Chena Lakes","137","63","6","969","4"
"33-155 Moose Creek","14","10","1","123","0"
"33-165 Newby","172","77","9","991","0"
"33-175 North Pole","109","47","2","579","1"
"33-183 Plack","143","71","0","924","0"
"34-235 Eielson","50","38","0","243","1"
"34-238 Eielson Farm Road","4","2","0","52","0"
"34-240 Farmers Loop","161","63","7","680","0"
"34-260 Salcha","52","26","2","455","1"
"34-263 Steele Creek","156","62","3","824","4"
"34-265 Steese","142","55","8","816","6"
"34-270 Summit","117","54","11","694","4"
"34-280 Two Rivers","54","31","3","415","0"
"35-580 Airport","37","19","3","275","1"
"35-582 Chena","214","98","10","1106","4"
"35-584 Ester","125","41","2","397","2"
"35-586 Geist","95","38","1","446","0"
"35-587 Lakeview","11","12","0","100","0"
"35-592 Shanly","85","51","2","293","1"
"35-595 University Hills","119","52","8","441","0"
"35-596 University West","222","110","11","947","1"
"36-001 Goldstream No. 1","121","33","7","488","2"
"36-002 Goldstream No. 2","127","77","10","562","2"
"36-010 Allakaket","12","3","1","23","1"
"36-014 Anvik","4","3","0","18","0"
"36-018 Arctic Village","2","4","0","46","1"
"36-022 Beaver","3","1","0","13","0"
"36-026 Bettles","3","0","0","8","0"
"36-034 Central","1","0","0","39","1"
"36-038 Chistochina","0","2","0","67","2"
"36-042 Circle","3","2","0","15","0"
"36-046 Copper Center","45","25","2","280","2"
"36-050 Delta Junction","34","22","2","298","2"
"36-054 Deltana","76","37","5","1079","1"
"36-058 Dot Lake","0","1","0","48","0"
"36-062 Eagle","3","4","1","60","1"
"36-066 Fort Yukon","10","3","2","123","2"
"36-070 Gakona","8","2","4","96","0"
"36-074 Galena","23","15","0","107","1"
"36-078 Glennallen","19","9","1","150","0"
"36-082 Grayling","11","7","2","30","5"
"36-086 Holy Cross","8","7","1","25","0"
"36-090 Hughes","2","1","0","27","0"
"36-094 Huslia","11","8","4","71","1"
"36-098 Kaltag","8","5","1","25","1"
"36-102 Kenny Lake","26","6","0","153","0"
"36-106 Koyukuk","6","4","1","17","1"
"36-110 Manley","1","2","0","44","0"
"36-114 McGrath","6","4","3","79","2"
"36-118 Mentasta","2","7","0","30","0"
"36-122 Minto","10","3","0","37","1"
"36-126 Nenana","48","23","3","239","1"
"36-130 Nikolai","5","0","0","21","1"
"36-134 Northway","16","7","0","44","4"
"36-138 Nulato","9","4","0","63","1"
"36-142 Ruby","0","1","0","29","0"
"36-146 Shageluk","7","7","0","8","1"
"36-162 Tanana","7","3","0","69","0"
"36-166 Tetlin","3","3","0","24","0"
"36-170 Tok","48","21","9","442","2"
"36-174 Venetie","3","1","1","40","0"
"37-700 Akutan","8","2","0","38","1"
