"1","Stein/Ware","Trump/Vance","Blank","Exhausted","Overvote"
"House District 1","842","5077","60","2655","35"
"House District 10","1070","4632","60","3051","31"
"House District 11","1122","5134","71","3577","24"
"House District 12","1112","4300","35","3101","21"
"House District 13","1097","3830","32","2643","30"
"House District 14","1232","2991","38","3198","36"
"House District 15","1112","4889","65","3289","26"
"House District 16","1417","4208","61","4030","30"
"House District 17","1371","2598","38","3734","52"
"House District 18","472","2872","16","1469","11"
"House District 19","782","2122","14","2117","31"
"House District 2","1178","4777","57","3603","51"
"House District 20","1163","3255","31","2841","37"
"House District 21","1270","4222","34","3544","38"
"House District 22","771","2822","25","1861","42"
"House District 23","1066","6433","50","3182","11"
"House District 24","864","6731","55","2519","13"
"House District 25","964","7136","59","2355","18"
"House District 26","613","7321","31","1509","18"
"House District 27","576","6944","41","1334","17"
"House District 28","665","6929","47","1684","6"
"House District 29","790","7660","56","2046","18"
"House District 3","1533","4771","52","4804","10"
"House District 30","727","7478","57","2099","28"
"House District 31","947","3703","53","2344","37"
"House District 32","582","3941","26","1338","14"
"House District 33","640","6750","31","1465","14"
"House District 34","1101","6108","61","2798","24"
"House District 35","1569","4640","51","3516","21"
"House District 36","1014","5857","85","2717","47"
"House District 37","506","2385","37","1455","61"
"House District 38","644","1757","29","1354","92"
"House District 39","731","1941","34","1510","92"
"House District 4","1653","2943","47","4668","24"
"House District 40","445","1826","31","1011","49"
"House District 5","899","4582","55","2537","24"
"House District 6","1316","6934","56","3743","14"
"House District 7","675","6955","56","1977","24"
"House District 8","703","8095","54","2003","13"
"House District 9","1429","5884","97","4517","11"
"House District 99","94","55","0","252","0"
"Total","38757","193488","1888","105450","1195"
