"1","Kennedy/Shanahan","Oliver/Maat","Blank","Exhausted","Overvote"
"01-600 Ketchikan No. 1","109","64","7","381","0"
"01-610 Ketchikan No. 2","119","72","7","644","4"
"01-620 Ketchikan No. 3","73","30","6","450","2"
"01-640 North Tongass No. 1","63","20","1","329","0"
"01-650 North Tongass No. 2","113","51","1","572","3"
"01-660 Saxman","27","13","0","72","2"
"01-670 South Tongass","101","53","8","467","0"
"01-675 Coffman Cove","18","2","2","86","2"
"01-680 Metlakatla","121","36","7","288","5"
"01-690 Wrangell","117","58","4","497","1"
"02-700 Angoon","24","11","0","78","0"
"02-705 Craig","71","28","3","289","5"
"02-720 Hoonah","59","19","3","180","3"
"02-725 Hydaburg","15","11","0","72","0"
"02-730 Kake","38","18","1","121","3"
"02-735 Kasaan","5","2","0","18","0"
"02-740 Klawock","59","31","0","252","3"
"02-750 Pelican-Elfin Cove","7","4","0","29","0"
"02-755 Petersburg-Kupreanof","174","76","10","582","1"
"02-760 Port Alexander","2","1","0","7","1"
"02-765 Sitka No. 1","193","97","8","665","3"
"02-770 Sitka No. 2","208","97","4","594","2"
"02-775 Tenakee Springs","6","4","1","31","0"
"02-780 Thorne Bay","22","12","0","156","0"
"02-785 Yakutat","32","24","0","167","3"
"03-300 Auke Bay","79","55","3","347","0"
"03-305 Lynn Canal","44","44","6","337","0"
"03-310 Melvin Park","120","87","7","362","0"
"03-315 Mendenhall Glacier","159","126","5","634","0"
"03-320 Thunder Mountain","152","107","3","540","0"
"03-325 Gustavus","25","24","0","140","0"
"03-330 Haines No. 1","121","87","4","433","4"
"03-335 Haines No. 2","8","10","0","91","0"
"03-340 Klukwan","7","9","0","25","0"
"03-345 Skagway","73","71","1","267","0"
"04-100 Douglas","75","66","2","383","3"
"04-105 Juneau Airport Area","76","28","2","193","0"
"04-110 Juneau No. 1","77","50","4","301","1"
"04-115 Juneau No. 2","54","49","1","357","0"
"04-120 Juneau No. 3","36","26","2","193","1"
"04-125 Lemon Creek","142","48","3","378","0"
"04-130 Glacier Valley Area","100","43","2","238","5"
"04-135 North Douglas","61","58","3","323","0"
"05-800 Chiniak","3","7","0","44","0"
"05-810 Flats","98","54","3","405","2"
"05-815 Kodiak Island South","1","0","1","14","1"
"05-820 Kodiak No. 1","122","36","1","488","2"
"05-825 Kodiak No. 2","117","52","1","524","2"
"05-830 Mission Road","276","137","6","989","0"
"05-835 Old Harbor","6","1","0","23","0"
"05-840 Ouzinkie","15","3","0","38","1"
"05-845 Port Lions","7","2","2","56","0"
"05-860 Cordova","93","44","6","340","4"
"05-865 Seward-Lowell Point","102","41","6","332","0"
"05-870 Tatitlek","7","5","0","6","1"
"06-200 Anchor Point","154","79","2","752","4"
"06-210 Diamond Ridge","51","41","2","254","1"
"06-220 Fox River","30","15","1","211","1"
"06-230 Homer No. 1","96","52","2","404","1"
"06-240 Homer No. 2","80","49","1","417","1"
"06-250 Kachemak-Fritz Creek","121","68","4","486","1"
"06-260 Kasilof","159","71","4","854","1"
"06-270 Ninilchik","84","50","1","498","1"
"06-280 Seldovia-Kachemak Bay","15","16","3","126","1"
"07-005 Central","140","69","3","533","2"
"07-010 K Beach","193","77","9","617","5"
"07-015 Kenai No. 1","141","83","1","524","5"
"07-020 Kenai No. 2","89","37","4","316","2"
"07-025 Kenai No. 3","61","28","3","248","2"
"07-030 Soldotna","166","59","6","612","3"
"08-035 Bear Creek","108","54","2","433","0"
"08-040 Cooper Landing","24","11","1","111","0"
"08-045 Funny River No. 1","49","18","3","269","1"
"08-050 Funny River No. 2","37","23","1","212","1"
"08-055 Hope","4","11","0","54","0"
"08-060 Mackey Lake","88","46","6","399","0"
"08-065 Moose Pass","23","6","3","129","0"
"08-070 Nikiski","110","75","2","616","0"
