"1","Oliver/Maat","Terry/Broden","Blank","Exhausted","Overvote"
"16-450 West Anchorage No. 1","81","28","7","542","2"
"16-455 West Anchorage No. 2","121","63","3","608","4"
"16-460 West Anchorage No. 3","180","66","9","793","6"
"16-465 West Anchorage No. 4","82","54","5","395","0"
"16-470 West Anchorage No. 5","136","56","6","711","1"
"16-475 West Anchorage No. 6","117","34","5","612","2"
"16-480 West Anchorage No. 7","121","54","3","440","2"
"17-505 Downtown Anchorage No. 1","50","12","3","282","0"
"17-510 Downtown Anchorage No. 2","72","20","4","398","0"
"17-515 Downtown Anchorage No. 3","45","10","4","287","1"
"17-520 Downtown Anchorage No. 4","130","40","4","459","3"
"17-525 Downtown Anchorage No. 5","95","31","1","304","2"
"17-530 Downtown Anchorage No. 6","72","20","1","217","6"
"17-535 Downtown Anchorage No. 7","81","27","1","335","3"
"18-550 Government Hill","55","25","2","337","0"
"18-555 JBER No.1","120","48","3","660","1"
"18-556 JBER No.2","53","19","0","166","0"
"18-560 North Muldoon","39","31","3","276","2"
"18-565 Ship Creek","18","6","0","62","0"
"19-605 Airport Heights No. 1","113","36","2","571","2"
"19-610 Airport Heights No. 2","70","29","2","620","2"
"19-615 Mountainview No. 1","80","45","0","272","5"
"19-620 Mountainview No. 2","50","48","1","279","2"
"19-625 South Mountainview","57","23","1","380","1"
"20-650 University No. 1","50","30","0","186","4"
"20-655 University No. 2","117","74","4","721","4"
"20-660 University No. 3","148","75","3","682","11"
"20-665 University No. 4","63","37","2","322","3"
"20-670 University No. 5","207","115","11","968","11"
"21-705 East Anchorage No. 1","67","46","4","574","3"
"21-710 East Anchorage No. 2","107","65","2","627","3"
"21-715 East Anchorage No. 3","179","103","7","819","9"
"21-720 East Anchorage No. 4","117","64","2","671","4"
"21-725 East Anchorage No. 5","173","109","4","925","6"
"22-750 Northeast Anchorage No. 1","133","117","3","573","0"
"22-755 Northeast Anchorage No. 2","135","103","0","519","9"
"22-760 Northeast Anchorage No. 3","126","88","5","666","8"
"22-765 Northeast Anchorage No. 4","73","80","4","403","14"
"23-805 Chugach Park No. 1","175","64","5","822","0"
"23-810 Eagle River No. 1","101","44","5","481","1"
"23-815 Eagle River No. 2","122","48","7","501","3"
"23-820 Hiland","100","35","2","500","1"
"23-825 Meadow Creek No. 1","126","48","3","543","3"
"23-830 Meadow Creek No. 2","60","26","1","333","3"
"24-850 Chugach Park No. 2","93","40","8","536","2"
"24-855 Chugiak","42","31","1","294","0"
"24-860 Eagle River No. 3","100","49","3","462","0"
"24-865 Eklutna","91","36","1","512","2"
"24-870 Fire Lake","103","63","3","551","5"
"24-875 Peters Creek No. 1","111","68","8","794","2"
"24-880 Peters Creek No. 2","67","42","1","416","0"
"25-305 Butte","178","72","12","945","1"
"25-310 Greater Palmer","90","28","3","420","1"
"25-315 Lazy Mountain","100","46","3","637","2"
"25-320 Palmer City No. 1","77","30","3","441","0"
"25-325 Palmer City No. 2","124","30","2","405","1"
"25-330 Springer Loop","105","58","5","583","0"
"25-335 Walby","107","53","7","500","3"
"26-350 Fairview No. 1","69","28","1","399","1"
"26-355 Fairview No. 2","58","25","1","308","2"
"26-360 Knik Goose Bay No. 1","145","59","6","965","1"
"26-365 Knik Goose Bay No. 2","95","45","3","640","0"
"26-370 Knik Goose Bay No. 3","75","26","1","408","0"
"26-375 Mat-Su Campus","88","38","5","500","2"
"26-380 Snowshoe","127","56","0","804","0"
"27-405 Foothills","88","49","4","574","1"
"27-410 Meadow Lakes No. 1","128","72","3","863","1"
"27-415 Meadow Lakes No. 2","115","73","7","700","1"
"27-420 Wasilla No. 1","115","48","6","570","3"
"27-425 Wasilla No. 2","125","55","8","754","1"
"28-450 Lakes No. 1","74","55","4","456","1"
"28-455 Lakes No. 2","49","27","4","326","0"
"28-460 Seldon No. 1","81","41","3","827","1"
"28-465 Seldon No. 2","140","83","7","718","2"
"28-470 Seward Meridian","41","30","4","328","0"
"28-475 Trunk","114","61","6","575","3"
"28-480 Wasilla Lake","65","22","1","307","0"
"29-505 Farm Loop","106","78","4","788","1"
"29-510 Fishhook","138","98","8","1151","3"
"29-515 Kings Lake","103","64","3","714","1"
"29-520 Lakes No. 3","47","31","1","274","0"
"29-525 Sheep Mountain","8","5","1","135","1"
"29-530 Sutton","59","38","2","405","0"
"29-535 Valdez No. 1","50","32","3","390","0"
"29-540 Valdez No. 2","23","17","1","183","0"
"29-545 Valdez No. 3","32","37","4","305","1"
"30-550 Anderson/Clear","9","9","0","119","0"
"30-555 Big Lake","114","101","8","964","7"
"30-560 Cantwell","10","8","1","67","0"
"30-565 Denali Park","9","2","0","61","0"
"30-570 East Schrock","13","13","0","64","0"
"30-575 Healy","50","31","1","292","0"
"30-580 Houston","49","48","0","426","2"
"30-585 Knik Goose Bay No. 4","119","85","6","905","0"
"30-590 Trapper Creek","9","7","1","101","1"
"30-595 Susitna","39","31","3","424","0"
"30-600 Talkeetna","38","12","3","207","0"
"30-605 Willow","81","77","5","830","3"
"31-446 Aurora","149","43","5","695","0"
"31-455 Fairbanks No. 1","142","62","7","725","5"
"31-480 Fairbanks No. 2","152","78","12","667","5"
"31-485 Fairbanks No. 3","171","80","3","606","14"
"32-355 Fairbanks No. 4","124","72","4","603","1"
"32-365 Fairbanks No. 5","103","41","3","440","2"
"32-375 Fort Wainwright","81","46","0","249","1"
"32-385 Badger No. 2","176","101","6","895","2"
"33-130 Badger No. 1","204","78","4","890","7"
"33-135 Chena Lakes","166","81","6","923","3"
"33-155 Moose Creek","16","12","1","119","0"
"33-165 Newby","174","108","9","958","0"
"33-175 North Pole","132","56","2","546","2"
"33-183 Plack","155","90","0","893","0"
"34-235 Eielson","63","33","0","235","1"
"34-238 Eielson Farm Road","5","3","0","50","0"
"34-240 Farmers Loop","140","51","7","713","0"
"34-260 Salcha","55","37","2","441","1"
"34-263 Steele Creek","189","66","3","788","3"
"34-265 Steese","148","70","8","796","5"
"34-270 Summit","122","71","11","671","5"
"34-280 Two Rivers","73","26","3","401","0"
"35-580 Airport","44","23","3","264","1"
"35-582 Chena","214","77","10","1127","4"
"35-584 Ester","105","36","2","422","2"
"35-586 Geist","84","43","1","452","0"
"35-587 Lakeview","10","13","0","100","0"
"35-592 Shanly","78","38","2","313","1"
"35-595 University Hills","115","36","8","460","1"
"35-596 University West","219","109","11","951","1"
"36-001 Goldstream No. 1","92","40","7","510","2"
"36-002 Goldstream No. 2","132","43","10","591","2"
"36-010 Allakaket","6","7","1","24","2"
"36-014 Anvik","3","5","0","17","0"
"36-018 Arctic Village","6","0","0","45","2"
"36-022 Beaver","3","2","0","11","1"
"36-026 Bettles","1","1","0","9","0"
"36-034 Central","1","0","0","39","1"
"36-038 Chistochina","1","2","0","66","2"
"36-042 Circle","4","2","0","14","0"
"36-046 Copper Center","36","39","2","276","1"
"36-050 Delta Junction","43","23","2","288","2"
"36-054 Deltana","97","66","5","1029","1"
"36-058 Dot Lake","0","1","0","48","0"
"36-062 Eagle","5","4","1","58","1"
"36-066 Fort Yukon","3","6","2","126","3"
"36-070 Gakona","6","7","4","93","0"
"36-074 Galena","13","21","0","111","1"
"36-078 Glennallen","26","22","1","130","0"
"36-082 Grayling","11","7","2","32","3"
"36-086 Holy Cross","10","6","1","24","0"
"36-090 Hughes","1","1","0","28","0"
"36-094 Huslia","6","11","4","73","1"
"36-098 Kaltag","2","10","1","25","2"
"36-102 Kenny Lake","20","12","0","153","0"
"36-106 Koyukuk","3","6","1","18","1"
"36-110 Manley","1","2","0","44","0"
"36-114 McGrath","8","7","3","74","2"
"36-118 Mentasta","6","2","0","31","0"
"36-122 Minto","5","8","0","37","1"
"36-126 Nenana","40","33","3","236","2"
"36-130 Nikolai","1","4","0","21","1"
"36-134 Northway","8","17","0","42","4"
"36-138 Nulato","3","9","0","64","1"
"36-142 Ruby","0","1","0","29","0"
"36-146 Shageluk","5","9","0","8","1"
"36-162 Tanana","5","4","0","70","0"
"36-166 Tetlin","4","3","0","23","0"
"36-170 Tok","45","52","9","414","2"
"36-174 Venetie","4","3","1","37","0"
"37-700 Akutan","3","6","0","39","1"
"37-702 Aleknagik","9","12","1","44","3"
"37-704 Aleutians No. 1","3","1","1","14","0"
"37-706 Aleutians No. 2","32","35","1","463","3"
"37-707 Aniak","13","22","1","69","2"
"37-708 Chignik","1","3","1","11","0"
"37-709 Chuathbaluk","4","3","0","10","2"
"37-710 Clark's Point","2","6","0","11","0"
"37-712 Cold Bay","1","1","1","17","0"
"37-713 Crooked Creek","3","2","0","14","0"
"37-714 Dillingham","60","62","6","419","3"
"37-716 Egegik","0","0","0","11","0"
"37-718 Ekwok","2","4","0","28","0"
"37-719 Goodnews Bay","12","22","1","20","3"
"37-720 King Cove","6","9","1","90","5"
"37-722 King Salmon","13","11","2","102","0"
"37-724 Koliganek","10","4","0","58","0"
"37-726 Lake Iliamna No. 1","13","9","0","80","1"
"37-728 Lake Iliamna No. 2","8","13","1","52","4"
"37-730 Levelock","3","2","0","18","1"
"37-731 Lower Kalskag","14","17","1","27","2"
"37-732 Manokotak","13","18","0","69","4"
"37-734 Naknek","20","6","1","114","1"
"37-736 New Stuyahok","0","1","1","51","0"
"37-738 Nondalton","7","9","0","20","8"
"37-740 Pedro Bay","2","0","0","12","0"
"37-742 Port Heiden","3","2","0","19","0"
"37-744 Sand Point","5","8","2","107","1"
"37-746 Sleetmute","8","6","0","10","0"
"37-748 South Naknek","1","1","2","13","1"
"37-750 St. George Island","1","2","1","3","0"
"37-752 St. Paul Island","12","11","2","82","0"
"37-754 Togiak","32","37","3","65","12"
"37-756 Tyonek","2","2","0","33","0"
"37-758 Upper Kalskag","12","5","0","35","5"
"38-800 Akiachak","19","28","1","106","7"
"38-802 Akiak","10","8","3","69","0"
"38-806 Atmautluak","3","8","2","30","2"
"38-808 Bethel No. 1","99","101","1","373","7"
"38-810 Bethel No. 2","83","107","3","376","6"
"38-812 Chefornak","15","8","0","73","0"
"38-818 Eek","8","18","1","67","1"
"38-822 Kasigluk","11","18","0","34","2"
"38-824 Kipnuk","17","20","0","68","8"
"38-826 Kongiganak","31","28","3","26","6"
"38-828 Kwethluk","29","48","0","53","3"
"38-830 Kwigillingok","13","23","0","41","4"
"38-836 Mekoryuk","9","12","1","43","4"
"38-838 Napakiak","9","17","2","42","1"
"38-840 Napaskiak","25","21","0","21","1"
"38-842 Newtok","17","21","0","11","7"
"38-844 Nightmute","4","4","2","21","3"
"38-846 Nunapitchuk","12","23","0","62","1"
"38-848 Quinhagak","17","32","1","76","8"
"38-852 Toksook Bay","39","56","3","72","10"
"38-854 Tuluksak","1","1","0","1","0"
"38-856 Tuntutuliak","23","34","0","59","1"
"38-858 Tununak","26","19","0","30","6"
"39-900 Alakanuk","27","21","0","35","4"
"39-902 Brevig Mission","28","8","1","62","3"
"39-906 Diomede","4","1","0","5","0"
"39-908 Elim","29","22","0","52","0"
"39-910 Emmonak","28","13","3","97","7"
"39-912 Gambell","31","16","2","90","7"
"39-914 Golovin","10","9","0","30","0"
"39-916 Hooper Bay","29","14","2","112","10"
"39-918 Kotlik","13","8","0","87","1"
"39-920 Koyuk","17","15","1","63","4"
"39-921 Marshall","21","14","1","48","2"
"39-922 Mountain Village","47","24","1","57","3"
"39-924 Nome No. 1","53","17","2","228","3"
"39-926 Nome No. 2","152","55","0","368","5"
"39-928 Nunam Iqua","12","5","1","19","0"
"39-930 Pilot Station","35","19","0","34","6"
"39-931 Russian Mission","4","9","2","43","1"
"39-932 Savoonga","58","11","1","83","6"
"39-934 Scammon Bay","34","21","0","46","7"
"39-936 Shaktoolik","17","4","2","32","2"
"39-938 Shishmaref","36","22","2","111","4"
"39-940 St. Mary's","26","9","2","78","2"
"39-942 St. Michael","15","7","3","37","3"
