"1","Sonski/Onak","West/Abdullah","Blank","Exhausted","Overvote"
"House District 1","698","510","60","7366","35"
"House District 10","747","716","60","7287","34"
"House District 11","733","716","71","8378","30"
"House District 12","775","779","35","6957","23"
"House District 13","631","858","32","6078","33"
"House District 14","591","911","38","5913","42"
"House District 15","704","873","65","7705","34"
"House District 16","706","1133","61","7815","31"
"House District 17","674","886","38","6138","57"
"House District 18","465","416","16","3932","11"
"House District 19","478","519","14","4016","39"
"House District 2","820","733","57","8003","53"
"House District 20","714","821","31","5711","50"
"House District 21","694","954","34","7375","51"
"House District 22","547","708","25","4186","55"
"House District 23","808","905","50","8958","21"
"House District 24","747","753","55","8608","19"
"House District 25","903","719","59","8830","21"
"House District 26","819","449","31","8176","17"
"House District 27","787","479","41","7583","22"
"House District 28","768","566","47","7936","14"
"House District 29","676","714","56","9100","24"
"House District 3","877","891","52","9337","13"
"House District 30","651","715","57","8932","34"
"House District 31","646","827","53","5508","50"
"House District 32","667","634","26","4552","22"
"House District 33","978","585","31","7284","22"
"House District 34","923","849","61","8225","34"
"House District 35","897","1019","51","7807","23"
"House District 36","779","749","85","8051","56"
"House District 37","411","482","37","3440","74"
"House District 38","614","717","29","2412","104"
"House District 39","632","848","34","2686","108"
"House District 4","695","1010","47","7556","27"
"House District 40","493","521","31","2269","48"
"House District 5","560","723","55","6729","30"
"House District 6","591","897","56","10499","20"
"House District 7","693","644","56","8259","35"
"House District 8","717","605","54","9475","17"
"House District 9","909","841","97","10078","13"
"House District 99","31","56","0","314","0"
"Total","28249","29731","1888","279464","1446"
