"1","Terry/Broden","West/Abdullah","Blank","Exhausted","Overvote"
"House District 1","746","498","60","7330","35"
"House District 10","766","734","60","7247","37"
"House District 11","787","727","71","8312","31"
"House District 12","818","767","35","6927","22"
"House District 13","821","712","32","6033","34"
"House District 14","736","815","38","5862","44"
"House District 15","779","862","65","7642","33"
"House District 16","769","1135","61","7750","31"
"House District 17","688","884","38","6127","56"
"House District 18","515","395","16","3901","13"
"House District 19","484","531","14","3995","42"
"House District 2","871","735","57","7948","55"
"House District 20","752","809","31","5684","51"
"House District 21","879","821","34","7322","52"
"House District 22","728","591","25","4125","52"
"House District 23","981","856","50","8839","16"
"House District 24","903","730","55","8473","21"
"House District 25","1047","670","59","8730","26"
"House District 26","898","453","31","8088","22"
"House District 27","902","467","41","7479","23"
"House District 28","856","564","47","7851","13"
"House District 29","976","553","56","8961","24"
"House District 3","883","916","52","9304","15"
"House District 30","950","576","57","8774","32"
"House District 31","697","846","53","5438","50"
"House District 32","787","604","26","4466","18"
"House District 33","1176","487","31","7183","23"
"House District 34","1054","817","61","8122","38"
"House District 35","937","1027","51","7757","25"
"House District 36","955","701","85","7921","58"
"House District 37","537","384","37","3412","74"
"House District 38","861","517","29","2369","100"
"House District 39","643","858","34","2667","106"
"House District 4","688","1007","47","7563","30"
"House District 40","491","526","31","2262","52"
"House District 5","784","557","55","6671","30"
"House District 6","754","848","56","10390","15"
"House District 7","829","624","56","8143","35"
"House District 8","879","583","54","9334","18"
"House District 9","971","816","97","10040","14"
"House District 99","27","62","0","312","0"
"Total","32605","28065","1888","276754","1466"
