"1","Sonski/Onak","Stein/Ware","Blank","Exhausted","Overvote"
"House District 1","576","821","60","7177","35"
"House District 10","634","1037","60","7079","34"
"House District 11","570","1148","71","8107","32"
"House District 12","583","1215","35","6714","22"
"House District 13","518","1258","32","5793","31"
"House District 14","662","1101","38","5646","48"
"House District 15","745","1040","65","7497","34"
"House District 16","708","1394","61","7548","35"
"House District 17","591","1233","38","5872","59"
"House District 18","443","512","16","3858","11"
"House District 19","369","796","14","3847","40"
"House District 2","678","1159","57","7721","51"
"House District 20","557","1200","31","5489","50"
"House District 21","556","1394","34","7075","49"
"House District 22","624","740","25","4075","57"
"House District 23","795","1114","50","8760","23"
"House District 24","676","1004","55","8427","20"
"House District 25","797","1037","59","8615","24"
"House District 26","669","756","31","8017","19"
"House District 27","630","786","41","7434","21"
"House District 28","560","923","47","7788","13"
"House District 29","563","1063","56","8866","22"
"House District 3","681","1493","52","8930","14"
"House District 30","692","851","57","8753","36"
"House District 31","783","822","53","5376","50"
"House District 32","632","745","26","4475","23"
"House District 33","835","877","31","7134","23"
"House District 34","792","1245","61","7965","29"
"House District 35","735","1579","51","7407","25"
"House District 36","600","1174","85","7803","58"
"House District 37","347","649","37","3339","72"
"House District 38","793","569","29","2371","114"
"House District 39","879","578","34","2702","115"
"House District 4","519","1649","47","7095","25"
"House District 40","503","524","31","2251","53"
"House District 5","438","1150","55","6422","32"
"House District 6","608","1329","56","10051","19"
"House District 7","719","769","56","8108","35"
"House District 8","575","951","54","9269","19"
"House District 9","787","1318","97","9722","14"
"House District 99","24","82","0","295","0"
"Total","25446","41085","1888","270873","1486"
