"1","Sonski/Onak","Stein/Ware","Blank","Exhausted","Overvote"
"01-600 Ketchikan No. 1","63","69","7","422","0"
"01-610 Ketchikan No. 2","66","74","7","695","4"
"01-620 Ketchikan No. 3","21","35","6","497","2"
"01-640 North Tongass No. 1","21","33","1","358","0"
"01-650 North Tongass No. 2","37","73","1","626","3"
"01-660 Saxman","15","16","0","81","2"
"01-670 South Tongass","41","52","8","528","0"
"01-675 Coffman Cove","3","5","2","98","2"
"01-680 Metlakatla","56","45","7","343","6"
"01-690 Wrangell","37","74","4","561","1"
"02-700 Angoon","11","10","0","92","0"
"02-705 Craig","35","26","3","328","4"
"02-720 Hoonah","21","30","3","207","3"
"02-725 Hydaburg","9","11","0","78","0"
"02-730 Kake","22","23","1","132","3"
"02-735 Kasaan","3","2","0","20","0"
"02-740 Klawock","29","27","0","287","2"
"02-750 Pelican-Elfin Cove","2","5","0","33","0"
"02-755 Petersburg-Kupreanof","74","81","10","677","1"
"02-760 Port Alexander","2","1","0","7","1"
"02-765 Sitka No. 1","72","121","8","760","5"
"02-770 Sitka No. 2","68","151","4","680","2"
"02-775 Tenakee Springs","1","9","1","31","0"
"02-780 Thorne Bay","4","17","0","169","0"
"02-785 Yakutat","21","11","0","191","3"
"03-300 Auke Bay","24","65","3","392","0"
"03-305 Lynn Canal","19","58","6","348","0"
"03-310 Melvin Park","51","94","7","424","0"
"03-315 Mendenhall Glacier","80","128","5","711","0"
"03-320 Thunder Mountain","66","109","3","624","0"
"03-325 Gustavus","12","36","0","141","0"
"03-330 Haines No. 1","46","91","4","504","4"
"03-335 Haines No. 2","4","14","0","91","0"
"03-340 Klukwan","8","6","0","27","0"
"03-345 Skagway","36","66","1","309","0"
"04-100 Douglas","31","108","2","387","1"
"04-105 Juneau Airport Area","25","38","2","234","0"
"04-110 Juneau No. 1","29","86","4","314","0"
"04-115 Juneau No. 2","18","99","1","343","0"
"04-120 Juneau No. 3","13","46","2","196","1"
"04-125 Lemon Creek","62","98","3","407","1"
"04-130 Glacier Valley Area","33","75","2","273","5"
"04-135 North Douglas","24","80","3","338","0"
"05-800 Chiniak","3","6","0","45","0"
"05-810 Flats","24","60","3","473","2"
"05-815 Kodiak Island South","0","0","1","14","2"
"05-820 Kodiak No. 1","33","93","1","520","2"
"05-825 Kodiak No. 2","33","82","1","578","2"
"05-830 Mission Road","100","197","6","1105","0"
"05-835 Old Harbor","0","6","0","24","0"
"05-840 Ouzinkie","3","11","0","41","2"
"05-845 Port Lions","5","2","2","58","0"
"05-860 Cordova","25","86","6","366","4"
