"1","Oliver/Maat","West/Abdullah","Blank","Exhausted","Overvote"
"House District 1","1065","428","60","7081","35"
"House District 10","1197","596","60","6960","31"
"House District 11","1240","604","71","7985","28"
"House District 12","1111","740","35","6660","23"
"House District 13","1074","684","32","5810","32"
"House District 14","1027","746","38","5643","41"
"House District 15","1180","709","65","7393","34"
"House District 16","1314","906","61","7439","26"
"House District 17","1106","761","38","5833","55"
"House District 18","728","339","16","3746","11"
"House District 19","689","488","14","3835","40"
"House District 2","1223","626","57","7708","52"
"House District 20","1054","754","31","5435","53"
"House District 21","1186","798","34","7041","49"
"House District 22","847","606","25","3990","53"
"House District 23","1479","711","50","8486","16"
"House District 24","1329","597","55","8180","21"
"House District 25","1450","600","59","8399","24"
"House District 26","1213","392","31","7839","17"
"House District 27","1174","417","41","7258","22"
"House District 28","1157","532","47","7583","12"
"House District 29","1165","592","56","8734","23"
"House District 3","1484","754","52","8867","13"
"House District 30","1122","588","57","8593","29"
"House District 31","1010","718","53","5254","49"
"House District 32","1036","501","26","4317","21"
"House District 33","1419","490","31","6937","23"
"House District 34","1503","713","61","7787","28"
"House District 35","1500","862","51","7360","24"
"House District 36","1159","694","85","7725","57"
"House District 37","566","426","37","3342","73"
"House District 38","766","646","29","2340","95"
"House District 39","801","757","34","2615","101"
"House District 4","1089","915","47","7255","29"
"House District 40","594","465","31","2222","50"
"House District 5","964","608","55","6440","30"
"House District 6","1129","783","56","10078","17"
"House District 7","1099","552","56","7944","36"
"House District 8","1094","504","54","9197","19"
"House District 9","1533","687","97","9605","16"
"House District 99","50","47","0","304","0"
"Total","44926","25336","1888","267220","1408"
