"1","Kennedy/Shanahan","Stein/Ware","Blank","Exhausted","Overvote"
"16-450 West Anchorage No. 1","72","97","7","484","0"
"16-455 West Anchorage No. 2","147","111","3","534","4"
"16-460 West Anchorage No. 3","179","140","9","721","5"
"16-465 West Anchorage No. 4","86","80","5","364","1"
"16-470 West Anchorage No. 5","163","99","6","641","1"
"16-475 West Anchorage No. 6","140","78","5","545","2"
"16-480 West Anchorage No. 7","139","76","3","400","2"
"17-505 Downtown Anchorage No. 1","53","37","3","254","0"
"17-510 Downtown Anchorage No. 2","74","82","4","334","0"
"17-515 Downtown Anchorage No. 3","44","42","4","256","1"
"17-520 Downtown Anchorage No. 4","118","103","4","409","2"
"17-525 Downtown Anchorage No. 5","94","65","1","270","3"
"17-530 Downtown Anchorage No. 6","88","35","1","184","8"
"17-535 Downtown Anchorage No. 7","103","72","1","268","3"
"18-550 Government Hill","79","49","2","289","0"
"18-555 JBER No.1","202","46","3","580","1"
"18-556 JBER No.2","76","21","0","141","0"
"18-560 North Muldoon","65","35","3","246","2"
"18-565 Ship Creek","13","14","0","59","0"
"19-605 Airport Heights No. 1","116","111","2","493","2"
"19-610 Airport Heights No. 2","93","70","2","556","2"
"19-615 Mountainview No. 1","99","52","0","249","2"
"19-620 Mountainview No. 2","83","47","1","247","2"
"19-625 South Mountainview","75","42","1","343","1"
"20-650 University No. 1","58","52","0","157","3"
"20-655 University No. 2","177","102","4","635","2"
"20-660 University No. 3","168","137","3","601","10"
"20-665 University No. 4","72","64","2","288","1"
"20-670 University No. 5","230","165","11","895","11"
"21-705 East Anchorage No. 1","99","90","4","498","3"
"21-710 East Anchorage No. 2","155","93","2","551","3"
"21-715 East Anchorage No. 3","205","137","7","760","8"
"21-720 East Anchorage No. 4","160","87","2","605","4"
"21-725 East Anchorage No. 5","206","164","4","837","6"
"22-750 Northeast Anchorage No. 1","196","106","3","519","2"
"22-755 Northeast Anchorage No. 2","196","77","0","484","9"
"22-760 Northeast Anchorage No. 3","158","108","5","615","7"
"22-765 Northeast Anchorage No. 4","134","66","4","357","13"
"23-805 Chugach Park No. 1","246","88","5","727","0"
"23-810 Eagle River No. 1","140","54","5","431","2"
"23-815 Eagle River No. 2","154","69","7","449","2"
"23-820 Hiland","128","51","2","456","1"
"23-825 Meadow Creek No. 1","163","73","3","482","2"
"23-830 Meadow Creek No. 2","73","40","1","307","2"
"24-850 Chugach Park No. 2","98","51","8","519","3"
"24-855 Chugiak","62","36","1","269","0"
"24-860 Eagle River No. 3","130","54","3","427","0"
"24-865 Eklutna","117","63","1","459","2"
"24-870 Fire Lake","140","62","3","516","4"
"24-875 Peters Creek No. 1","164","81","8","728","2"
