"1","Sonski/Onak","Terry/Broden","Blank","Exhausted","Overvote"
"16-450 West Anchorage No. 1","47","42","7","561","3"
"16-455 West Anchorage No. 2","87","71","3","635","3"
"16-460 West Anchorage No. 3","105","94","9","840","6"
"16-465 West Anchorage No. 4","52","64","5","415","0"
"16-470 West Anchorage No. 5","78","74","6","751","1"
"16-475 West Anchorage No. 6","66","56","5","641","2"
"16-480 West Anchorage No. 7","57","83","3","475","2"
"17-505 Downtown Anchorage No. 1","27","13","3","304","0"
"17-510 Downtown Anchorage No. 2","49","26","4","415","0"
"17-515 Downtown Anchorage No. 3","25","19","4","298","1"
"17-520 Downtown Anchorage No. 4","76","58","4","495","3"
"17-525 Downtown Anchorage No. 5","66","29","1","335","2"
"17-530 Downtown Anchorage No. 6","44","34","1","230","7"
"17-535 Downtown Anchorage No. 7","60","34","1","349","3"
"18-550 Government Hill","34","30","2","353","0"
"18-555 JBER No.1","69","65","3","694","1"
"18-556 JBER No.2","26","27","0","185","0"
"18-560 North Muldoon","29","34","3","283","2"
"18-565 Ship Creek","10","9","0","67","0"
"19-605 Airport Heights No. 1","74","45","2","601","2"
"19-610 Airport Heights No. 2","41","34","2","644","2"
"19-615 Mountainview No. 1","54","53","0","292","3"
"19-620 Mountainview No. 2","39","46","1","292","2"
"19-625 South Mountainview","39","30","1","391","1"
"20-650 University No. 1","38","37","0","191","4"
"20-655 University No. 2","76","87","4","750","3"
"20-660 University No. 3","96","87","3","722","11"
"20-665 University No. 4","38","40","2","345","2"
"20-670 University No. 5","124","144","11","1022","11"
"21-705 East Anchorage No. 1","32","55","4","600","3"
"21-710 East Anchorage No. 2","68","86","2","646","2"
"21-715 East Anchorage No. 3","110","136","7","855","9"
"21-720 East Anchorage No. 4","50","91","2","711","4"
"21-725 East Anchorage No. 5","88","140","4","977","8"
"22-750 Northeast Anchorage No. 1","74","141","3","607","1"
"22-755 Northeast Anchorage No. 2","91","120","0","547","8"
"22-760 Northeast Anchorage No. 3","75","103","5","703","7"
"22-765 Northeast Anchorage No. 4","48","96","4","413","13"
"23-805 Chugach Park No. 1","97","93","5","871","0"
"23-810 Eagle River No. 1","68","52","5","506","1"
"23-815 Eagle River No. 2","68","67","7","536","3"
"23-820 Hiland","53","54","2","528","1"
"23-825 Meadow Creek No. 1","73","66","3","578","3"
"23-830 Meadow Creek No. 2","30","36","1","353","3"
"24-850 Chugach Park No. 2","42","58","8","568","3"
"24-855 Chugiak","28","30","1","309","0"
"24-860 Eagle River No. 3","54","66","3","491","0"
"24-865 Eklutna","51","56","1","532","2"
"24-870 Fire Lake","65","75","3","578","4"
"24-875 Peters Creek No. 1","57","89","8","827","2"
"24-880 Peters Creek No. 2","38","56","1","431","0"
"25-305 Butte","110","84","12","1001","1"
"25-310 Greater Palmer","58","32","3","448","1"
"25-315 Lazy Mountain","58","64","3","661","2"
"25-320 Palmer City No. 1","42","45","3","460","1"
"25-325 Palmer City No. 2","66","47","2","446","1"
"25-330 Springer Loop","61","71","5","614","0"
"25-335 Walby","60","70","7","530","3"
"26-350 Fairview No. 1","43","37","1","416","1"
"26-355 Fairview No. 2","30","33","1","328","2"
"26-360 Knik Goose Bay No. 1","81","83","6","1005","1"
"26-365 Knik Goose Bay No. 2","49","66","3","665","0"
"26-370 Knik Goose Bay No. 3","40","42","1","427","0"
"26-375 Mat-Su Campus","55","44","5","527","2"
"26-380 Snowshoe","71","67","0","849","0"
"27-405 Foothills","60","53","4","598","1"
"27-410 Meadow Lakes No. 1","79","83","3","901","1"
"27-415 Meadow Lakes No. 2","57","101","7","731","0"
"27-420 Wasilla No. 1","64","69","6","598","5"
"27-425 Wasilla No. 2","82","66","8","786","1"
"28-450 Lakes No. 1","45","67","4","474","0"
"28-455 Lakes No. 2","27","32","4","342","1"
"28-460 Seldon No. 1","30","60","3","859","1"
"28-465 Seldon No. 2","78","105","7","758","2"
"28-470 Seward Meridian","29","33","4","337","0"
"28-475 Trunk","65","81","6","604","3"
"28-480 Wasilla Lake","29","41","1","324","0"
"29-505 Farm Loop","56","99","4","817","1"
"29-510 Fishhook","80","124","8","1183","3"
"29-515 Kings Lake","42","91","3","748","1"
"29-520 Lakes No. 3","18","43","1","291","0"
"29-525 Sheep Mountain","2","8","1","138","1"
"29-530 Sutton","31","48","2","423","0"
"29-535 Valdez No. 1","20","42","3","410","0"
"29-540 Valdez No. 2","10","24","1","189","0"
"29-545 Valdez No. 3","18","41","4","315","1"
"30-550 Anderson/Clear","4","10","0","123","0"
"30-555 Big Lake","64","126","8","990","6"
"30-560 Cantwell","7","9","1","69","0"
"30-565 Denali Park","4","2","0","66","0"
"30-570 East Schrock","8","16","0","66","0"
"30-575 Healy","21","49","1","303","0"
"30-580 Houston","25","61","0","437","2"
"30-585 Knik Goose Bay No. 4","66","115","6","928","0"
"30-590 Trapper Creek","4","8","1","105","1"
"30-595 Susitna","18","41","3","435","0"
"30-600 Talkeetna","15","18","3","224","0"
"30-605 Willow","40","94","5","853","4"
"31-446 Aurora","99","55","5","733","0"
"31-455 Fairbanks No. 1","99","67","7","763","5"
"31-480 Fairbanks No. 2","109","85","12","704","4"
"31-485 Fairbanks No. 3","125","90","3","642","14"
"32-355 Fairbanks No. 4","87","88","4","623","2"
"32-365 Fairbanks No. 5","56","55","3","473","2"
"32-375 Fort Wainwright","52","60","0","264","1"
"32-385 Badger No. 2","84","135","6","953","2"
"33-130 Badger No. 1","117","113","4","942","7"
"33-135 Chena Lakes","102","106","6","961","4"
"33-155 Moose Creek","10","13","1","124","0"
"33-165 Newby","117","130","9","993","0"
"33-175 North Pole","83","76","2","575","2"
"33-183 Plack","86","124","0","928","0"
"34-235 Eielson","43","43","0","245","1"
"34-238 Eielson Farm Road","2","4","0","52","0"
"34-240 Farmers Loop","75","65","7","764","0"
"34-260 Salcha","37","49","2","447","1"
"34-263 Steele Creek","110","90","3","842","4"
"34-265 Steese","72","94","8","847","6"
"34-270 Summit","79","89","11","697","4"
"34-280 Two Rivers","39","35","3","426","0"
"35-580 Airport","30","28","3","273","1"
"35-582 Chena","117","103","10","1197","5"
"35-584 Ester","60","49","2","454","2"
"35-586 Geist","63","45","1","471","0"
"35-587 Lakeview","10","11","0","102","0"
"35-592 Shanly","42","52","2","335","1"
"35-595 University Hills","69","44","8","498","1"
"35-596 University West","146","126","11","1006","2"
"36-001 Goldstream No. 1","46","61","7","535","2"
"36-002 Goldstream No. 2","47","78","10","641","2"
"36-010 Allakaket","6","7","1","24","2"
"36-014 Anvik","6","2","0","17","0"
"36-018 Arctic Village","4","1","0","47","1"
"36-022 Beaver","1","3","0","12","1"
"36-026 Bettles","1","1","0","9","0"
"36-034 Central","0","0","0","40","1"
"36-038 Chistochina","0","2","0","67","2"
"36-042 Circle","3","2","0","15","0"
"36-046 Copper Center","28","42","2","280","2"
"36-050 Delta Junction","24","30","2","299","3"
"36-054 Deltana","50","80","5","1061","2"
"36-058 Dot Lake","0","1","0","48","0"
"36-062 Eagle","1","7","1","59","1"
"36-066 Fort Yukon","6","5","2","124","3"
"36-070 Gakona","3","6","4","97","0"
"36-074 Galena","14","18","0","113","1"
"36-078 Glennallen","10","24","1","144","0"
"36-082 Grayling","11","8","2","30","4"
"36-086 Holy Cross","7","8","1","25","0"
"36-090 Hughes","1","2","0","27","0"
"36-094 Huslia","8","10","4","72","1"
"36-098 Kaltag","4","8","1","25","2"
"36-102 Kenny Lake","10","18","0","157","0"
"36-106 Koyukuk","2","7","1","18","1"
"36-110 Manley","1","2","0","44","0"
"36-114 McGrath","5","8","3","76","2"
"36-118 Mentasta","5","4","0","30","0"
"36-122 Minto","6","8","0","36","1"
"36-126 Nenana","27","35","3","247","2"
"36-130 Nikolai","3","2","0","21","1"
"36-134 Northway","12","13","0","42","4"
"36-138 Nulato","3","9","0","64","1"
"36-142 Ruby","0","1","0","29","0"
