"1","Trump/Vance","West/Abdullah","Blank","Exhausted","Overvote"
"House District 1","5112","641","60","2819","37"
"House District 10","4658","852","60","3243","31"
"House District 11","5166","863","71","3802","26"
"House District 12","4332","851","35","3332","19"
"House District 13","3863","826","32","2882","29"
"House District 14","3016","928","38","3477","36"
"House District 15","4905","878","65","3504","29"
"House District 16","4239","1154","61","4267","25"
"House District 17","2646","1070","38","3985","54"
"House District 18","2870","413","16","1529","12"
"House District 19","2144","600","14","2276","32"
"House District 2","4813","887","57","3856","53"
"House District 20","3280","902","31","3074","40"
"House District 21","4251","948","34","3830","45"
"House District 22","2823","658","25","1974","41"
"House District 23","6450","855","50","3376","11"
"House District 24","6752","710","55","2651","14"
"House District 25","7165","733","59","2555","20"
"House District 26","7354","458","31","1634","15"
"House District 27","6957","430","41","1465","19"
"House District 28","6939","530","47","1809","6"
"House District 29","7681","574","56","2242","17"
"House District 3","4795","1113","52","5200","10"
"House District 30","7490","559","57","2255","28"
"House District 31","3702","804","53","2482","43"
"House District 32","3957","512","26","1391","15"
"House District 33","6778","509","31","1567","15"
"House District 34","6137","854","61","3012","28"
"House District 35","4680","1156","51","3891","19"
"House District 36","5895","738","85","2956","46"
"House District 37","2390","398","37","1556","63"
"House District 38","1739","608","29","1408","92"
"House District 39","1930","729","34","1523","92"
"House District 4","2979","1161","47","5121","27"
"House District 40","1849","426","31","1011","45"
"House District 5","4615","613","55","2790","24"
"House District 6","6957","879","56","4160","11"
"House District 7","6961","527","56","2117","26"
"House District 8","8116","522","54","2166","10"
"House District 9","5940","1059","97","4826","16"
"House District 99","56","77","0","268","0"
"Total","194382","30005","1888","113282","1221"
