"1","Kennedy/Shanahan","Trump/Vance","Blank","Exhausted","Overvote"
"16-450 West Anchorage No. 1","74","200","7","379","0"
"16-455 West Anchorage No. 2","97","354","3","342","3"
"16-460 West Anchorage No. 3","135","471","9","436","3"
"16-465 West Anchorage No. 4","58","278","5","194","1"
"16-470 West Anchorage No. 5","108","488","6","308","0"
"16-475 West Anchorage No. 6","94","399","5","270","2"
"16-480 West Anchorage No. 7","82","331","3","202","2"
"17-505 Downtown Anchorage No. 1","43","137","3","164","0"
"17-510 Downtown Anchorage No. 2","74","141","4","275","0"
"17-515 Downtown Anchorage No. 3","43","127","4","172","1"
"17-520 Downtown Anchorage No. 4","91","245","4","295","1"
"17-525 Downtown Anchorage No. 5","87","164","1","179","2"
"17-530 Downtown Anchorage No. 6","74","118","1","115","8"
"17-535 Downtown Anchorage No. 7","79","182","1","183","2"
"18-550 Government Hill","55","180","2","182","0"
"18-555 JBER No.1","76","598","3","154","1"
"18-556 JBER No.2","28","155","0","55","0"
"18-560 North Muldoon","50","176","3","120","2"
"18-565 Ship Creek","16","35","0","35","0"
"19-605 Airport Heights No. 1","95","270","2","355","2"
"19-610 Airport Heights No. 2","62","388","2","269","2"
"19-615 Mountainview No. 1","60","182","0","158","2"
"19-620 Mountainview No. 2","52","196","1","129","2"
"19-625 South Mountainview","33","242","1","185","1"
"20-650 University No. 1","50","120","0","99","1"
"20-655 University No. 2","114","451","4","349","2"
"20-660 University No. 3","131","414","3","363","8"
"20-665 University No. 4","52","189","2","183","1"
"20-670 University No. 5","161","638","11","492","10"
"21-705 East Anchorage No. 1","69","325","4","293","3"
"21-710 East Anchorage No. 2","108","435","2","257","2"
"21-715 East Anchorage No. 3","145","611","7","345","9"
"21-720 East Anchorage No. 4","81","433","2","340","2"
"21-725 East Anchorage No. 5","139","602","4","468","4"
"22-750 Northeast Anchorage No. 1","125","425","3","273","0"
"22-755 Northeast Anchorage No. 2","106","433","0","220","7"
"22-760 Northeast Anchorage No. 3","104","446","5","332","6"
"22-765 Northeast Anchorage No. 4","72","322","4","166","10"
"23-805 Chugach Park No. 1","124","634","5","303","0"
"23-810 Eagle River No. 1","76","390","5","160","1"
"23-815 Eagle River No. 2","97","394","7","182","1"
"23-820 Hiland","66","407","2","163","0"
"23-825 Meadow Creek No. 1","93","437","3","189","1"
"23-830 Meadow Creek No. 2","45","275","1","101","1"
"24-850 Chugach Park No. 2","56","458","8","155","2"
"24-855 Chugiak","32","255","1","80","0"
"24-860 Eagle River No. 3","72","400","3","139","0"
"24-865 Eklutna","52","420","1","168","1"
"24-870 Fire Lake","69","483","3","167","3"
"24-875 Peters Creek No. 1","89","712","8","174","0"
"24-880 Peters Creek No. 2","46","366","1","113","0"
"25-305 Butte","103","885","12","206","2"
"25-310 Greater Palmer","67","369","3","102","1"
"25-315 Lazy Mountain","56","570","3","158","1"
"25-320 Palmer City No. 1","69","355","3","124","0"
"25-325 Palmer City No. 2","85","349","2","125","1"
"25-330 Springer Loop","57","552","5","137","0"
"25-335 Walby","60","505","7","96","2"
"26-350 Fairview No. 1","45","397","1","54","1"
"26-355 Fairview No. 2","31","293","1","67","2"
"26-360 Knik Goose Bay No. 1","82","941","6","146","1"
"26-365 Knik Goose Bay No. 2","51","610","3","119","0"
"26-370 Knik Goose Bay No. 3","33","399","1","77","0"
"26-375 Mat-Su Campus","50","451","5","125","2"
"26-380 Snowshoe","67","781","0","138","1"
"27-405 Foothills","44","570","4","97","1"
"27-410 Meadow Lakes No. 1","66","865","3","132","1"
"27-415 Meadow Lakes No. 2","55","729","7","105","0"
"27-420 Wasilla No. 1","55","570","6","108","3"
"27-425 Wasilla No. 2","70","729","8","135","1"
"28-450 Lakes No. 1","51","443","4","91","1"
"28-455 Lakes No. 2","33","306","4","63","0"
"28-460 Seldon No. 1","49","774","3","127","0"
"28-465 Seldon No. 2","95","690","7","156","2"
"28-470 Seward Meridian","29","297","4","73","0"
"28-475 Trunk","72","521","6","159","1"
"28-480 Wasilla Lake","38","297","1","59","0"
"29-505 Farm Loop","81","763","4","128","1"
"29-510 Fishhook","106","1030","8","254","0"
"29-515 Kings Lake","62","692","3","127","1"
"29-520 Lakes No. 3","25","272","1","55","0"
"29-525 Sheep Mountain","7","121","1","20","1"
"29-530 Sutton","40","370","2","92","0"
"29-535 Valdez No. 1","42","308","3","122","0"
"29-540 Valdez No. 2","19","139","1","65","0"
"29-545 Valdez No. 3","30","251","4","93","1"
"30-550 Anderson/Clear","7","109","0","21","0"
"30-555 Big Lake","61","968","8","152","5"
"30-560 Cantwell","8","45","1","32","0"
"30-565 Denali Park","11","12","0","49","0"
"30-570 East Schrock","5","72","0","13","0"
"30-575 Healy","22","259","1","92","0"
"30-580 Houston","27","424","0","72","2"
"30-585 Knik Goose Bay No. 4","70","882","6","157","0"
"30-590 Trapper Creek","9","83","1","26","0"
"30-595 Susitna","32","368","3","94","0"
"30-600 Talkeetna","28","106","3","123","0"
"30-605 Willow","56","754","5","179","2"
"31-446 Aurora","100","499","5","288","0"
"31-455 Fairbanks No. 1","115","455","7","361","3"
"31-480 Fairbanks No. 2","130","494","12","274","4"
"31-485 Fairbanks No. 3","131","478","3","255","7"
"32-355 Fairbanks No. 4","109","466","4","224","1"
"32-365 Fairbanks No. 5","84","319","3","181","2"
"32-375 Fort Wainwright","46","280","0","50","1"
"32-385 Badger No. 2","98","877","6","199","0"
"33-130 Badger No. 1","124","873","4","176","6"
"33-135 Chena Lakes","71","968","6","132","2"
"33-155 Moose Creek","12","116","1","19","0"
"33-165 Newby","87","982","9","171","0"
"33-175 North Pole","66","569","2","99","2"
"33-183 Plack","63","950","0","125","0"
"34-235 Eielson","26","255","0","50","1"
"34-238 Eielson Farm Road","3","48","0","7","0"
"34-240 Farmers Loop","118","413","7","373","0"
"34-260 Salcha","24","428","2","81","1"
"34-263 Steele Creek","107","679","3","258","2"
"34-265 Steese","94","634","8","287","4"
"34-270 Summit","89","530","11","247","3"
"34-280 Two Rivers","32","363","3","105","0"
"35-580 Airport","28","212","3","91","1"
"35-582 Chena","144","756","10","519","3"
"35-584 Ester","77","229","2","256","3"
"35-586 Geist","77","315","1","187","0"
"35-587 Lakeview","8","86","0","29","0"
"35-592 Shanly","48","207","2","174","1"
"35-595 University Hills","92","243","8","275","2"
"35-596 University West","160","678","11","441","1"
"36-001 Goldstream No. 1","72","318","7","252","2"
"36-002 Goldstream No. 2","98","286","10","381","3"
