"1","Stein/Ware","Trump/Vance","Blank","Exhausted","Overvote"
"16-450 West Anchorage No. 1","111","201","7","339","2"
"16-455 West Anchorage No. 2","114","362","3","317","3"
"16-460 West Anchorage No. 3","153","487","9","402","3"
"16-465 West Anchorage No. 4","70","281","5","179","1"
"16-470 West Anchorage No. 5","109","502","6","293","0"
"16-475 West Anchorage No. 6","98","411","5","254","2"
"16-480 West Anchorage No. 7","84","336","3","195","2"
"17-505 Downtown Anchorage No. 1","48","140","3","156","0"
"17-510 Downtown Anchorage No. 2","92","144","4","254","0"
"17-515 Downtown Anchorage No. 3","49","127","4","166","1"
"17-520 Downtown Anchorage No. 4","126","246","4","258","2"
"17-525 Downtown Anchorage No. 5","89","168","1","172","3"
"17-530 Downtown Anchorage No. 6","66","123","1","118","8"
"17-535 Downtown Anchorage No. 7","87","193","1","164","2"
"18-550 Government Hill","53","191","2","173","0"
"18-555 JBER No.1","55","611","3","162","1"
"18-556 JBER No.2","21","164","0","53","0"
"18-560 North Muldoon","42","182","3","122","2"
"18-565 Ship Creek","16","35","0","35","0"
"19-605 Airport Heights No. 1","133","270","2","317","2"
"19-610 Airport Heights No. 2","82","389","2","248","2"
"19-615 Mountainview No. 1","65","182","0","154","1"
"19-620 Mountainview No. 2","42","203","1","132","2"
"19-625 South Mountainview","49","240","1","171","1"
"20-650 University No. 1","60","122","0","87","1"
"20-655 University No. 2","111","461","4","342","2"
"20-660 University No. 3","154","422","3","330","10"
"20-665 University No. 4","72","191","2","162","0"
"20-670 University No. 5","188","643","11","462","8"
"21-705 East Anchorage No. 1","101","335","4","251","3"
"21-710 East Anchorage No. 2","99","444","2","258","1"
"21-715 East Anchorage No. 3","159","618","7","325","8"
"21-720 East Anchorage No. 4","94","441","2","319","2"
"21-725 East Anchorage No. 5","175","606","4","430","2"
"22-750 Northeast Anchorage No. 1","126","437","3","259","1"
"22-755 Northeast Anchorage No. 2","111","439","0","209","7"
"22-760 Northeast Anchorage No. 3","108","457","5","317","6"
"22-765 Northeast Anchorage No. 4","76","325","4","158","11"
"23-805 Chugach Park No. 1","111","648","5","302","0"
"23-810 Eagle River No. 1","65","394","5","167","1"
"23-815 Eagle River No. 2","72","412","7","189","1"
"23-820 Hiland","58","417","2","161","0"
"23-825 Meadow Creek No. 1","90","441","3","188","1"
