"1","Kennedy/Shanahan","Sonski/Onak","Blank","Exhausted","Overvote"
"16-450 West Anchorage No. 1","77","47","7","529","0"
"16-455 West Anchorage No. 2","155","64","3","574","3"
"16-460 West Anchorage No. 3","191","78","9","771","5"
"16-465 West Anchorage No. 4","95","49","5","387","0"
"16-470 West Anchorage No. 5","176","56","6","671","1"
"16-475 West Anchorage No. 6","145","43","5","575","2"
"16-480 West Anchorage No. 7","146","45","3","424","2"
"17-505 Downtown Anchorage No. 1","57","17","3","270","0"
"17-510 Downtown Anchorage No. 2","87","34","4","369","0"
"17-515 Downtown Anchorage No. 3","57","15","4","270","1"
"17-520 Downtown Anchorage No. 4","134","43","4","453","2"
"17-525 Downtown Anchorage No. 5","102","34","1","293","3"
"17-530 Downtown Anchorage No. 6","96","16","1","195","8"
"17-535 Downtown Anchorage No. 7","108","35","1","300","3"
"18-550 Government Hill","85","25","2","307","0"
"18-555 JBER No.1","200","43","3","585","1"
"18-556 JBER No.2","80","10","0","148","0"
"18-560 North Muldoon","73","19","3","254","2"
"18-565 Ship Creek","14","11","0","61","0"
"19-605 Airport Heights No. 1","130","49","2","541","2"
"19-610 Airport Heights No. 2","95","36","2","588","2"
"19-615 Mountainview No. 1","96","38","0","265","3"
"19-620 Mountainview No. 2","78","42","1","257","2"
"19-625 South Mountainview","73","28","1","359","1"
"20-650 University No. 1","63","34","0","170","3"
"20-655 University No. 2","191","61","4","662","2"
"20-660 University No. 3","184","75","3","647","10"
"20-665 University No. 4","79","33","2","312","1"
"20-670 University No. 5","245","109","11","935","12"
"21-705 East Anchorage No. 1","114","28","4","545","3"
"21-710 East Anchorage No. 2","173","55","2","572","2"
"21-715 East Anchorage No. 3","234","81","7","786","9"
"21-720 East Anchorage No. 4","168","45","2","640","3"
"21-725 East Anchorage No. 5","241","68","4","897","7"
"22-750 Northeast Anchorage No. 1","209","64","3","548","2"
"22-755 Northeast Anchorage No. 2","203","56","0","499","8"
"22-760 Northeast Anchorage No. 3","164","69","5","647","8"
"22-765 Northeast Anchorage No. 4","138","45","4","375","12"
"23-805 Chugach Park No. 1","256","54","5","751","0"
"23-810 Eagle River No. 1","146","37","5","442","2"
"23-815 Eagle River No. 2","166","44","7","462","2"
"23-820 Hiland","134","30","2","471","1"
"23-825 Meadow Creek No. 1","170","50","3","498","2"
"23-830 Meadow Creek No. 2","80","19","1","321","2"
"24-850 Chugach Park No. 2","107","30","8","531","3"
"24-855 Chugiak","63","26","1","278","0"
"24-860 Eagle River No. 3","136","39","3","436","0"
"24-865 Eklutna","122","43","1","474","2"
"24-870 Fire Lake","141","54","3","523","4"
"24-875 Peters Creek No. 1","171","59","8","744","1"
"24-880 Peters Creek No. 2","91","42","1","392","0"
"25-305 Butte","261","57","12","877","1"
"25-310 Greater Palmer","129","25","3","384","1"
"25-315 Lazy Mountain","163","37","3","584","1"
"25-320 Palmer City No. 1","112","31","3","404","1"
"25-325 Palmer City No. 2","147","32","2","380","1"
"25-330 Springer Loop","152","38","5","555","1"
"25-335 Walby","158","38","7","465","2"
"26-350 Fairview No. 1","118","15","1","363","1"
"26-355 Fairview No. 2","79","22","1","290","2"
"26-360 Knik Goose Bay No. 1","241","45","6","883","1"
"26-365 Knik Goose Bay No. 2","169","30","3","581","0"
"26-370 Knik Goose Bay No. 3","120","23","1","366","0"
"26-375 Mat-Su Campus","130","31","5","465","2"
"26-380 Snowshoe","203","37","0","747","0"
"27-405 Foothills","139","35","4","536","2"
"27-410 Meadow Lakes No. 1","195","62","3","806","1"
"27-415 Meadow Lakes No. 2","169","49","7","671","0"
"27-420 Wasilla No. 1","170","41","6","522","3"
"27-425 Wasilla No. 2","184","55","8","695","1"
"28-450 Lakes No. 1","138","36","4","412","0"
"28-455 Lakes No. 2","80","23","4","298","1"
"28-460 Seldon No. 1","147","27","3","776","0"
"28-465 Seldon No. 2","223","69","7","649","2"
"28-470 Seward Meridian","71","19","4","309","0"
"28-475 Trunk","169","46","6","535","3"
"28-480 Wasilla Lake","93","17","1","284","0"
"29-505 Farm Loop","194","41","4","737","1"
"29-510 Fishhook","255","61","8","1072","2"
"29-515 Kings Lake","174","37","3","670","1"
"29-520 Lakes No. 3","72","17","1","263","0"
"29-525 Sheep Mountain","15","2","1","131","1"
"29-530 Sutton","96","17","2","389","0"
"29-535 Valdez No. 1","105","12","3","355","0"
"29-540 Valdez No. 2","42","8","1","173","0"
"29-545 Valdez No. 3","82","18","4","274","1"
"30-550 Anderson/Clear","21","3","0","113","0"
"30-555 Big Lake","227","49","8","904","6"
"30-560 Cantwell","17","7","1","61","0"
"30-565 Denali Park","14","4","0","54","0"
"30-570 East Schrock","22","4","0","64","0"
"30-575 Healy","70","19","1","284","0"
"30-580 Houston","107","21","0","395","2"
"30-585 Knik Goose Bay No. 4","224","41","6","844","0"
"30-590 Trapper Creek","15","3","1","99","1"
"30-595 Susitna","80","16","3","398","0"
"30-600 Talkeetna","50","15","3","192","0"
"30-605 Willow","153","43","5","792","3"
"31-446 Aurora","180","55","5","652","0"
"31-455 Fairbanks No. 1","168","69","7","693","4"
"31-480 Fairbanks No. 2","198","79","12","621","4"
"31-485 Fairbanks No. 3","234","64","3","560","13"
"32-355 Fairbanks No. 4","168","67","4","564","1"
"32-365 Fairbanks No. 5","123","35","3","426","2"
"32-375 Fort Wainwright","125","30","0","221","1"
"32-385 Badger No. 2","251","70","6","851","2"
"33-130 Badger No. 1","285","57","4","829","8"
"33-135 Chena Lakes","241","63","6","865","4"
"33-155 Moose Creek","24","8","1","115","0"
"33-165 Newby","271","76","9","893","0"
"33-175 North Pole","161","55","2","518","2"
"33-183 Plack","257","62","0","819","0"
"34-235 Eielson","102","29","0","200","1"
"34-238 Eielson Farm Road","11","1","0","46","0"
"34-240 Farmers Loop","173","55","7","676","0"
"34-260 Salcha","90","28","2","415","1"
"34-263 Steele Creek","235","71","3","737","3"
"34-265 Steese","195","51","8","767","6"
"34-270 Summit","187","54","11","624","4"
"34-280 Two Rivers","106","23","3","371","0"
"35-580 Airport","66","21","3","244","1"
"35-582 Chena","259","93","10","1067","3"
"35-584 Ester","89","50","2","423","3"
"35-586 Geist","102","52","1","425","0"
"35-587 Lakeview","20","7","0","96","0"
"35-592 Shanly","84","41","2","304","1"
"35-595 University Hills","133","47","8","430","2"
"35-596 University West","253","111","11","915","1"
"36-001 Goldstream No. 1","99","46","7","497","2"
"36-002 Goldstream No. 2","135","54","10","577","2"
"36-010 Allakaket","9","5","1","24","1"
"36-014 Anvik","3","6","0","16","0"
"36-018 Arctic Village","5","3","0","44","1"
"36-022 Beaver","3","1","0","12","1"
"36-026 Bettles","3","1","0","7","0"
"36-034 Central","4","0","0","36","1"
"36-038 Chistochina","6","2","0","61","2"
