"1","Stein/Ware","Terry/Broden","Blank","Exhausted","Overvote"
"16-450 West Anchorage No. 1","107","33","7","511","2"
"16-455 West Anchorage No. 2","146","56","3","590","4"
"16-460 West Anchorage No. 3","176","79","9","784","6"
"16-465 West Anchorage No. 4","91","50","5","389","1"
"16-470 West Anchorage No. 5","125","68","6","711","0"
"16-475 West Anchorage No. 6","109","46","5","608","2"
"16-480 West Anchorage No. 7","95","74","3","446","2"
"17-505 Downtown Anchorage No. 1","51","11","3","282","0"
"17-510 Downtown Anchorage No. 2","97","20","4","373","0"
"17-515 Downtown Anchorage No. 3","49","11","4","281","2"
"17-520 Downtown Anchorage No. 4","142","43","4","444","3"
"17-525 Downtown Anchorage No. 5","94","33","1","303","2"
"17-530 Downtown Anchorage No. 6","71","23","1","214","7"
"17-535 Downtown Anchorage No. 7","98","34","1","311","3"
"18-550 Government Hill","55","28","2","334","0"
"18-555 JBER No.1","84","61","3","683","1"
"18-556 JBER No.2","34","26","0","178","0"
"18-560 North Muldoon","42","32","3","272","2"
"18-565 Ship Creek","16","7","0","63","0"
"19-605 Airport Heights No. 1","141","35","2","544","2"
"19-610 Airport Heights No. 2","81","34","2","604","2"
"19-615 Mountainview No. 1","78","48","0","273","3"
"19-620 Mountainview No. 2","55","43","1","279","2"
"19-625 South Mountainview","56","34","1","370","1"
"20-650 University No. 1","55","35","0","176","4"
"20-655 University No. 2","124","72","4","718","2"
"20-660 University No. 3","160","74","3","671","11"
"20-665 University No. 4","75","36","2","312","2"
"20-670 University No. 5","190","129","11","970","12"
"21-705 East Anchorage No. 1","90","49","4","548","3"
"21-710 East Anchorage No. 2","108","69","2","622","3"
"21-715 East Anchorage No. 3","161","114","7","827","8"
"21-720 East Anchorage No. 4","110","71","2","671","4"
"21-725 East Anchorage No. 5","182","114","4","910","7"
"22-750 Northeast Anchorage No. 1","127","121","3","574","1"
"22-755 Northeast Anchorage No. 2","118","110","0","529","9"
"22-760 Northeast Anchorage No. 3","117","96","5","669","6"
"22-765 Northeast Anchorage No. 4","79","85","4","392","14"
"23-805 Chugach Park No. 1","140","82","5","839","0"
"23-810 Eagle River No. 1","82","52","5","492","1"
"23-815 Eagle River No. 2","105","49","7","517","3"
"23-820 Hiland","76","49","2","510","1"
"23-825 Meadow Creek No. 1","106","61","3","551","2"
"23-830 Meadow Creek No. 2","57","25","1","337","3"
"24-850 Chugach Park No. 2","68","48","8","552","3"
"24-855 Chugiak","45","30","1","292","0"
"24-860 Eagle River No. 3","74","57","3","480","0"
"24-865 Eklutna","77","47","1","515","2"
"24-870 Fire Lake","79","72","3","567","4"
"24-875 Peters Creek No. 1","95","75","8","802","3"
"24-880 Peters Creek No. 2","51","54","1","420","0"
"25-305 Butte","146","79","12","969","2"
"25-310 Greater Palmer","69","40","3","429","1"
"25-315 Lazy Mountain","89","54","3","640","2"
"25-320 Palmer City No. 1","64","39","3","444","1"
"25-325 Palmer City No. 2","99","42","2","418","1"
"25-330 Springer Loop","73","70","5","603","0"
"25-335 Walby","82","67","7","511","3"
"26-350 Fairview No. 1","55","37","1","404","1"
"26-355 Fairview No. 2","47","33","1","311","2"
"26-360 Knik Goose Bay No. 1","115","69","6","985","1"
"26-365 Knik Goose Bay No. 2","68","56","3","656","0"
"26-370 Knik Goose Bay No. 3","55","38","1","415","1"
"26-375 Mat-Su Campus","70","46","5","509","3"
"26-380 Snowshoe","92","71","0","823","1"
"27-405 Foothills","73","56","4","582","1"
"27-410 Meadow Lakes No. 1","105","78","3","880","1"
"27-415 Meadow Lakes No. 2","72","98","7","718","1"
"27-420 Wasilla No. 1","75","74","6","582","5"
"27-425 Wasilla No. 2","90","67","8","777","1"
"28-450 Lakes No. 1","64","58","4","463","1"
"28-455 Lakes No. 2","34","28","4","340","0"
"28-460 Seldon No. 1","53","54","3","842","1"
"28-465 Seldon No. 2","105","93","7","743","2"
"28-470 Seward Meridian","33","34","4","332","0"
"28-475 Trunk","95","65","6","590","3"
"28-480 Wasilla Lake","38","39","1","317","0"
"29-505 Farm Loop","82","87","4","803","1"
"29-510 Fishhook","147","94","8","1147","2"
"29-515 Kings Lake","69","81","3","731","1"
"29-520 Lakes No. 3","34","36","1","282","0"
"29-525 Sheep Mountain","9","7","1","132","1"
"29-530 Sutton","44","50","2","408","0"
"29-535 Valdez No. 1","45","35","3","392","0"
"29-540 Valdez No. 2","26","20","1","177","0"
"29-545 Valdez No. 3","42","36","4","296","1"
"30-550 Anderson/Clear","4","11","0","122","0"
"30-555 Big Lake","78","125","8","976","7"
"30-560 Cantwell","15","6","1","64","0"
"30-565 Denali Park","26","0","0","46","0"
"30-570 East Schrock","12","16","0","62","0"
"30-575 Healy","43","45","1","285","0"
"30-580 Houston","32","63","0","428","2"
"30-585 Knik Goose Bay No. 4","79","112","6","918","0"
"30-590 Trapper Creek","11","7","1","99","1"
"30-595 Susitna","43","38","3","413","0"
"30-600 Talkeetna","55","14","3","188","0"
"30-605 Willow","52","88","5","847","4"
"31-446 Aurora","121","56","5","710","0"
"31-455 Fairbanks No. 1","143","62","7","724","5"
"31-480 Fairbanks No. 2","144","80","12","675","3"
"31-485 Fairbanks No. 3","159","89","3","610","13"
"32-355 Fairbanks No. 4","138","76","4","584","2"
"32-365 Fairbanks No. 5","86","46","3","452","2"
"32-375 Fort Wainwright","54","58","0","264","1"
"32-385 Badger No. 2","118","128","6","926","2"
"33-130 Badger No. 1","138","105","4","929","7"
"33-135 Chena Lakes","116","103","6","951","3"
"33-155 Moose Creek","15","12","1","120","0"
"33-165 Newby","145","126","9","969","0"
"33-175 North Pole","96","69","2","570","1"
"33-183 Plack","116","117","0","905","0"
"34-235 Eielson","44","44","0","243","1"
"34-238 Eielson Farm Road","3","5","0","50","0"
"34-240 Farmers Loop","172","48","7","684","0"
"34-260 Salcha","42","49","2","442","1"
"34-263 Steele Creek","152","82","3","808","4"
"34-265 Steese","130","72","8","811","6"
"34-270 Summit","107","85","11","673","4"
"34-280 Two Rivers","56","33","3","411","0"
"35-580 Airport","36","27","3","268","1"
"35-582 Chena","224","98","10","1096","4"
"35-584 Ester","125","43","2","395","2"
"35-586 Geist","92","48","1","439","0"
"35-587 Lakeview","11","10","0","102","0"
"35-592 Shanly","83","50","2","296","1"
"35-595 University Hills","125","39","8","447","1"
"35-596 University West","214","120","11","945","1"
"36-001 Goldstream No. 1","111","52","7","479","2"
"36-002 Goldstream No. 2","148","56","10","562","2"
"36-010 Allakaket","9","5","1","24","1"
"36-014 Anvik","6","2","0","17","0"
"36-018 Arctic Village","4","2","0","46","1"
"36-022 Beaver","3","2","0","11","1"
"36-026 Bettles","2","1","0","8","0"
"36-034 Central","1","0","0","39","1"
"36-038 Chistochina","0","2","0","67","2"
"36-042 Circle","3","2","0","15","0"
"36-046 Copper Center","33","37","2","280","2"
"36-050 Delta Junction","23","35","2","295","3"
"36-054 Deltana","62","78","5","1052","1"
"36-058 Dot Lake","0","1","0","48","0"
"36-062 Eagle","2","7","1","58","1"
"36-066 Fort Yukon","8","6","2","122","2"
"36-070 Gakona","5","5","4","96","0"
"36-074 Galena","19","18","0","108","1"
"36-078 Glennallen","13","24","1","141","0"
"36-082 Grayling","8","10","2","31","4"
"36-086 Holy Cross","8","7","1","25","0"
"36-090 Hughes","1","1","0","28","0"
"36-094 Huslia","11","8","4","71","1"
"36-098 Kaltag","9","4","1","25","1"
"36-102 Kenny Lake","20","15","0","150","0"
"36-106 Koyukuk","4","5","1","18","1"
"36-110 Manley","2","2","0","43","0"
"36-114 McGrath","4","9","3","76","2"
"36-118 Mentasta","4","4","0","31","0"
"36-122 Minto","7","6","0","37","1"
"36-126 Nenana","36","34","3","239","2"
"36-130 Nikolai","3","2","0","21","1"
"36-134 Northway","12","13","0","42","4"
"36-138 Nulato","7","7","0","62","1"
"36-142 Ruby","0","1","0","29","0"
"36-146 Shageluk","5","9","0","8","1"
"36-162 Tanana","8","1","0","70","0"
"36-166 Tetlin","0","7","0","23","0"
"36-170 Tok","30","55","9","426","2"
"36-174 Venetie","2","3","1","39","0"
"37-700 Akutan","6","3","0","39","1"
"37-702 Aleknagik","10","11","1","44","3"
"37-704 Aleutians No. 1","3","1","1","14","0"
"37-706 Aleutians No. 2","43","33","1","454","3"
"37-707 Aniak","19","12","1","73","2"
"37-708 Chignik","3","1","1","11","0"
"37-709 Chuathbaluk","5","4","0","9","1"
"37-710 Clark's Point","5","4","0","10","0"
"37-712 Cold Bay","0","2","1","17","0"
"37-713 Crooked Creek","1","3","0","15","0"
"37-714 Dillingham","56","57","6","429","2"
"37-716 Egegik","0","0","0","11","0"
"37-718 Ekwok","5","1","0","28","0"
"37-719 Goodnews Bay","14","21","1","19","3"
"37-720 King Cove","6","10","1","90","4"
"37-722 King Salmon","17","6","2","103","0"
"37-724 Koliganek","6","9","0","57","0"
"37-726 Lake Iliamna No. 1","15","8","0","79","1"
"37-728 Lake Iliamna No. 2","13","13","1","47","4"
"37-730 Levelock","3","3","0","17","1"
"37-731 Lower Kalskag","21","12","1","25","2"
"37-732 Manokotak","14","16","0","70","4"
"37-734 Naknek","13","8","1","119","1"
"37-736 New Stuyahok","2","1","1","49","0"
"37-738 Nondalton","10","8","0","19","7"
"37-740 Pedro Bay","0","1","0","13","0"
"37-742 Port Heiden","4","1","0","19","0"
"37-744 Sand Point","8","6","2","106","1"
"37-746 Sleetmute","7","7","0","9","1"
"37-748 South Naknek","3","1","2","11","1"
"37-750 St. George Island","1","2","1","3","0"
"37-752 St. Paul Island","20","10","2","75","0"
"37-754 Togiak","31","36","3","68","11"
"37-756 Tyonek","1","3","0","33","0"
"37-758 Upper Kalskag","9","9","0","35","4"
"38-800 Akiachak","13","34","1","106","7"
"38-802 Akiak","6","11","3","70","0"
"38-806 Atmautluak","3","7","2","31","2"
"38-808 Bethel No. 1","82","117","1","374","7"
"38-810 Bethel No. 2","62","124","3","380","6"
"38-812 Chefornak","10","13","0","72","1"
"38-818 Eek","6","20","1","67","1"
"38-822 Kasigluk","6","22","0","35","2"
"38-824 Kipnuk","18","19","0","67","9"
"38-826 Kongiganak","24","33","3","27","7"
"38-828 Kwethluk","20","55","0","54","4"
"38-830 Kwigillingok","9","26","0","42","4"
"38-836 Mekoryuk","7","13","1","44","4"
"38-838 Napakiak","9","18","2","41","1"
"38-840 Napaskiak","21","26","0","20","1"
"38-842 Newtok","16","21","0","11","8"
"38-844 Nightmute","4","4","2","21","3"
"38-846 Nunapitchuk","12","24","0","62","0"
"38-848 Quinhagak","15","34","1","76","8"
"38-852 Toksook Bay","42","54","3","71","10"
"38-854 Tuluksak","1","1","0","1","0"
"38-856 Tuntutuliak","13","42","0","60","2"
"38-858 Tununak","24","21","0","30","6"
"39-900 Alakanuk","26","21","0","35","5"
"39-902 Brevig Mission","19","13","1","63","6"
"39-906 Diomede","4","1","0","5","0"
"39-908 Elim","33","20","0","50","0"
"39-910 Emmonak","23","15","3","98","9"
"39-912 Gambell","29","18","2","90","7"
"39-914 Golovin","12","7","0","30","0"
"39-916 Hooper Bay","24","18","2","112","11"
"39-918 Kotlik","11","10","0","88","0"
"39-920 Koyuk","20","12","1","62","5"
"39-921 Marshall","16","18","1","49","2"
"39-922 Mountain Village","41","25","1","62","3"
"39-924 Nome No. 1","54","18","2","226","3"
"39-926 Nome No. 2","161","53","0","363","3"
"39-928 Nunam Iqua","9","5","1","22","0"
"39-930 Pilot Station","29","25","0","34","6"
"39-931 Russian Mission","5","8","2","43","1"
"39-932 Savoonga","41","19","1","89","9"
"39-934 Scammon Bay","32","21","0","47","8"
"39-936 Shaktoolik","12","6","2","35","2"
"39-938 Shishmaref","28","26","2","114","5"
"39-940 St. Mary's","24","8","2","81","2"
"39-942 St. Michael","17","7","3","35","3"
"39-944 Stebbins","30","12","0","25","6"
"39-946 Teller","10","7","0","19","0"
"39-948 Unalakleet","51","23","1","141","5"
"39-950 Wales","5","0","0","3","0"
"39-952 White Mountain","24","4","0","41","0"
"40-002 Ambler","6","6","3","27","2"
"40-004 Anaktuvuk Pass","8","3","2","44","1"
"40-006 Atqasuk","7","3","1","25","1"
"40-008 Utqiagvik","57","21","0","171","0"
"40-010 Browerville","141","88","3","405","10"
"40-012 Buckland","21","18","0","42","3"
"40-014 Deering","15","8","0","13","1"
"40-016 Kaktovik","7","5","0","61","0"
"40-018 Kiana","0","1","1","58","0"
"40-020 Kivalina","9","7","1","43","2"
"40-022 Kobuk","1","2","0","33","2"
"40-024 Kotzebue","135","82","6","344","7"
"40-026 Noatak","27","15","2","57","4"
"40-028 Noorvik","16","15","2","63","0"
"40-030 Nuiqsut","5","5","2","28","4"
"40-032 Point Hope","1","1","1","117","0"
"40-034 Point Lay","8","6","0","15","1"
"40-036 Selawik","16","9","0","50","3"
"40-038 Shungnak","10","5","0","28","7"
"40-040 Wainwright","26","13","0","88","2"
"District 1 - Absentee","330","130","15","2555","13"
"District 1 - Early Voting","3","5","0","12","0"
"District 1  - Question","66","39","2","389","2"
"District 10 - Absentee","252","92","22","1602","4"
"District 10 - Early Voting","194","75","4","1281","3"
"District 10  - Question","44","17","2","192","3"
"District 11 - Absentee","331","120","31","2072","5"
"District 11 - Early Voting","222","91","9","1456","6"
"District 11  - Question","31","24","0","181","2"
"District 12 - Absentee","287","109","9","1574","4"
"District 12 - Early Voting","216","99","2","1282","1"
"District 12  - Question","47","31","3","156","3"
"District 13 - Absentee","270","87","9","1292","2"
"District 13 - Early Voting","188","102","7","1090","5"
"District 13  - Question","54","35","2","250","5"
"District 14 - Absentee","320","133","10","1387","11"
"District 14 - Early Voting","248","102","6","1272","7"
"District 14  - Question","75","66","3","281","9"
"District 15 - Absentee","281","91","17","1754","2"
"District 15 - Early Voting","220","87","5","1429","2"
"District 15  - Question","43","27","3","206","4"
"District 16 - Absentee","352","94","12","1794","6"
"District 16 - Early Voting","279","95","10","1444","9"
"District 16  - Question","62","27","1","208","4"
"District 17 - Absentee","381","87","12","1780","9"
"District 17 - Early Voting","373","108","4","1604","16"
"District 17  - Question","84","32","4","262","17"
"District 18 - Absentee","185","131","5","1246","4"
"District 18 - Early Voting","79","29","0","399","1"
"District 18  - Question","87","91","3","650","4"
"District 19 - Absentee","206","70","3","851","14"
"District 19 - Early Voting","160","49","2","613","6"
"District 19  - Question","51","48","3","287","12"
"District 2 - Absentee","653","212","25","3764","19"
"District 2 - Early Voting","14","5","0","56","1"
"District 2  - Question","64","19","2","181","6"
"District 20 - Absentee","297","115","6","1384","4"
"District 20 - Early Voting","217","89","3","986","5"
"District 20  - Question","71","53","2","239","8"
