"1","Oliver/Maat","West/Abdullah","Blank","Exhausted","Overvote"
"01-600 Ketchikan No. 1","95","46","7","413","0"
"01-610 Ketchikan No. 2","109","42","7","684","4"
"01-620 Ketchikan No. 3","44","18","6","491","2"
"01-640 North Tongass No. 1","42","11","1","358","1"
"01-650 North Tongass No. 2","77","34","1","625","3"
"01-660 Saxman","26","6","0","80","2"
"01-670 South Tongass","81","27","8","513","0"
"01-675 Coffman Cove","7","1","2","98","2"
"01-680 Metlakatla","85","18","7","343","4"
"01-690 Wrangell","86","29","4","557","1"
"02-700 Angoon","17","6","0","90","0"
"02-705 Craig","44","22","3","323","4"
"02-720 Hoonah","31","21","3","206","3"
"02-725 Hydaburg","14","5","0","79","0"
"02-730 Kake","29","20","1","128","3"
"02-735 Kasaan","5","0","0","20","0"
"02-740 Klawock","46","19","0","277","3"
"02-750 Pelican-Elfin Cove","7","0","0","33","0"
"02-755 Petersburg-Kupreanof","121","36","10","675","1"
"02-760 Port Alexander","2","0","0","8","1"
"02-765 Sitka No. 1","157","55","8","742","4"
"02-770 Sitka No. 2","130","74","4","694","3"
"02-775 Tenakee Springs","2","4","1","35","0"
"02-780 Thorne Bay","17","5","0","168","0"
"02-785 Yakutat","29","9","0","185","3"
"03-300 Auke Bay","56","30","3","395","0"
"03-305 Lynn Canal","52","20","6","353","0"
"03-310 Melvin Park","107","48","7","414","0"
"03-315 Mendenhall Glacier","171","58","5","690","0"
"03-320 Thunder Mountain","139","56","3","604","0"
"03-325 Gustavus","29","16","0","144","0"
"03-330 Haines No. 1","112","47","4","482","4"
"03-335 Haines No. 2","10","13","0","86","0"
"03-340 Klukwan","10","3","0","28","0"
"03-345 Skagway","78","48","1","285","0"
"04-100 Douglas","75","46","2","403","3"
"04-105 Juneau Airport Area","51","22","2","224","0"
"04-110 Juneau No. 1","63","52","4","313","1"
"04-115 Juneau No. 2","54","56","1","350","0"
"04-120 Juneau No. 3","30","20","2","205","1"
"04-125 Lemon Creek","87","70","3","410","1"
"04-130 Glacier Valley Area","56","39","2","285","6"
"04-135 North Douglas","65","36","3","341","0"
"05-800 Chiniak","6","2","0","46","0"
"05-810 Flats","67","22","3","468","2"
"05-815 Kodiak Island South","0","1","1","14","1"
"05-820 Kodiak No. 1","73","49","1","525","1"
"05-825 Kodiak No. 2","70","52","1","571","2"
"05-830 Mission Road","187","114","6","1101","0"
"05-835 Old Harbor","1","4","0","25","0"
"05-840 Ouzinkie","10","5","0","39","3"
"05-845 Port Lions","4","1","2","60","0"
"05-860 Cordova","67","40","6","370","4"
"05-865 Seward-Lowell Point","65","36","6","374","0"
"05-870 Tatitlek","7","4","0","7","1"
"06-200 Anchor Point","99","61","2","827","2"
"06-210 Diamond Ridge","43","29","2","274","1"
"06-220 Fox River","17","16","1","222","2"
"06-230 Homer No. 1","65","42","2","445","1"
"06-240 Homer No. 2","60","24","1","462","1"
"06-250 Kachemak-Fritz Creek","93","51","4","532","0"
"06-260 Kasilof","95","56","4","932","2"
"06-270 Ninilchik","74","29","1","528","2"
"06-280 Seldovia-Kachemak Bay","15","13","3","129","1"
"07-005 Central","103","45","3","594","2"
"07-010 K Beach","123","54","9","709","6"
