"1","Terry/Broden","West/Abdullah","Blank","Exhausted","Overvote"
"16-450 West Anchorage No. 1","43","75","7","534","1"
"16-455 West Anchorage No. 2","81","100","3","612","3"
"16-460 West Anchorage No. 3","84","149","9","808","4"
"16-465 West Anchorage No. 4","63","66","5","402","0"
"16-470 West Anchorage No. 5","78","87","6","738","1"
"16-475 West Anchorage No. 6","58","81","5","624","2"
"16-480 West Anchorage No. 7","80","70","3","465","2"
"17-505 Downtown Anchorage No. 1","25","26","3","293","0"
"17-510 Downtown Anchorage No. 2","36","58","4","396","0"
"17-515 Downtown Anchorage No. 3","15","37","4","289","2"
"17-520 Downtown Anchorage No. 4","81","88","4","460","3"
"17-525 Downtown Anchorage No. 5","54","61","1","315","2"
"17-530 Downtown Anchorage No. 6","51","31","1","226","7"
"17-535 Downtown Anchorage No. 7","52","61","1","330","3"
"18-550 Government Hill","31","44","2","342","0"
"18-555 JBER No.1","79","59","3","690","1"
"18-556 JBER No.2","39","16","0","183","0"
"18-560 North Muldoon","37","29","3","280","2"
"18-565 Ship Creek","11","10","0","65","0"
"19-605 Airport Heights No. 1","59","79","2","582","2"
"19-610 Airport Heights No. 2","42","56","2","622","1"
"19-615 Mountainview No. 1","61","56","0","282","3"
"19-620 Mountainview No. 2","51","37","1","289","2"
"19-625 South Mountainview","45","32","1","383","1"
"20-650 University No. 1","45","32","0","189","4"
"20-655 University No. 2","93","85","4","734","4"
"20-660 University No. 3","115","89","3","702","10"
"20-665 University No. 4","52","38","2","332","3"
"20-670 University No. 5","142","142","11","1004","13"
"21-705 East Anchorage No. 1","50","55","4","582","3"
"21-710 East Anchorage No. 2","94","62","2","644","2"
"21-715 East Anchorage No. 3","143","102","7","856","9"
"21-720 East Anchorage No. 4","83","79","2","691","3"
"21-725 East Anchorage No. 5","144","107","4","953","9"
"22-750 Northeast Anchorage No. 1","135","87","3","600","1"
"22-755 Northeast Anchorage No. 2","122","98","0","537","9"
"22-760 Northeast Anchorage No. 3","106","80","5","695","7"
"22-765 Northeast Anchorage No. 4","84","64","4","408","14"
"23-805 Chugach Park No. 1","113","91","5","857","0"
"23-810 Eagle River No. 1","69","61","5","496","1"
"23-815 Eagle River No. 2","75","78","7","519","2"
"23-820 Hiland","65","51","2","519","1"
"23-825 Meadow Creek No. 1","84","67","3","568","1"
"23-830 Meadow Creek No. 2","39","34","1","346","3"
"24-850 Chugach Park No. 2","61","42","8","565","3"
"24-855 Chugiak","36","24","1","307","0"
"24-860 Eagle River No. 3","69","59","3","483","0"
"24-865 Eklutna","58","49","1","532","2"
"24-870 Fire Lake","87","54","3","576","5"
"24-875 Peters Creek No. 1","97","59","8","817","2"
"24-880 Peters Creek No. 2","60","36","1","429","0"
"25-305 Butte","131","75","12","987","3"
"25-310 Greater Palmer","69","22","3","447","1"
"25-315 Lazy Mountain","82","44","3","657","2"
"25-320 Palmer City No. 1","47","47","3","454","0"
"25-325 Palmer City No. 2","67","57","2","434","2"
"25-330 Springer Loop","97","35","5","614","0"
"25-335 Walby","87","43","7","530","3"
"26-350 Fairview No. 1","58","22","1","417","0"
"26-355 Fairview No. 2","45","24","1","322","2"
"26-360 Knik Goose Bay No. 1","109","52","6","1008","1"
"26-365 Knik Goose Bay No. 2","93","26","3","661","0"
"26-370 Knik Goose Bay No. 3","57","26","1","426","0"
"26-375 Mat-Su Campus","62","37","5","526","3"
"26-380 Snowshoe","109","36","0","841","1"
"27-405 Foothills","75","43","4","593","1"
"27-410 Meadow Lakes No. 1","114","47","3","902","1"
"27-415 Meadow Lakes No. 2","121","35","7","732","1"
"27-420 Wasilla No. 1","94","42","6","594","6"
"27-425 Wasilla No. 2","102","44","8","788","1"
"28-450 Lakes No. 1","66","49","4","471","0"
"28-455 Lakes No. 2","38","21","4","342","1"
"28-460 Seldon No. 1","62","29","3","859","0"
"28-465 Seldon No. 2","110","75","7","756","2"
"28-470 Seward Meridian","39","28","4","332","0"
"28-475 Trunk","92","48","6","610","3"
"28-480 Wasilla Lake","41","32","1","321","0"
"29-505 Farm Loop","114","40","4","818","1"
"29-510 Fishhook","130","71","8","1185","4"
"29-515 Kings Lake","97","38","3","746","1"
"29-520 Lakes No. 3","45","19","1","288","0"
"29-525 Sheep Mountain","7","3","1","138","1"
"29-530 Sutton","57","29","2","416","0"
"29-535 Valdez No. 1","44","21","3","407","0"
"29-540 Valdez No. 2","21","17","1","185","0"
"29-545 Valdez No. 3","42","20","4","312","1"
"30-550 Anderson/Clear","12","2","0","123","0"
"30-555 Big Lake","133","54","8","993","6"
"30-560 Cantwell","10","9","1","66","0"
"30-565 Denali Park","3","13","0","56","0"
"30-570 East Schrock","18","6","0","66","0"
"30-575 Healy","47","29","1","297","0"
"30-580 Houston","60","30","0","433","2"
"30-585 Knik Goose Bay No. 4","119","55","6","935","0"
"30-590 Trapper Creek","9","3","1","105","1"
"30-595 Susitna","43","23","3","428","0"
"30-600 Talkeetna","16","30","3","211","0"
"30-605 Willow","96","41","5","850","4"
"31-446 Aurora","73","96","5","718","0"
"31-455 Fairbanks No. 1","84","102","7","743","5"
"31-480 Fairbanks No. 2","97","118","12","682","5"
"31-485 Fairbanks No. 3","115","119","3","624","13"
"32-355 Fairbanks No. 4","89","104","4","605","2"
"32-365 Fairbanks No. 5","54","69","3","461","2"
"32-375 Fort Wainwright","70","41","0","265","1"
"32-385 Badger No. 2","149","85","6","938","2"
"33-130 Badger No. 1","170","61","4","940","8"
"33-135 Chena Lakes","149","58","6","962","4"
"33-155 Moose Creek","14","9","1","124","0"
"33-165 Newby","182","65","9","993","0"
"33-175 North Pole","106","55","2","574","1"
"33-183 Plack","153","55","0","930","0"
"34-235 Eielson","52","34","0","245","1"
"34-238 Eielson Farm Road","4","2","0","52","0"
"34-240 Farmers Loop","74","100","7","730","0"
"34-260 Salcha","65","21","2","447","1"
"34-263 Steele Creek","125","84","3","831","6"
"34-265 Steese","117","69","8","827","6"
"34-270 Summit","103","66","11","695","5"
"34-280 Two Rivers","46","34","3","420","0"
"35-580 Airport","35","19","3","277","1"
"35-582 Chena","120","138","10","1161","3"
"35-584 Ester","55","72","2","436","2"
"35-586 Geist","76","44","1","459","0"
"35-587 Lakeview","10","14","0","99","0"
"35-592 Shanly","57","58","2","314","1"
"35-595 University Hills","56","83","8","473","0"
"35-596 University West","174","137","11","968","1"
"36-001 Goldstream No. 1","67","51","7","524","2"
"36-002 Goldstream No. 2","58","96","10","612","2"
"36-010 Allakaket","11","4","1","23","1"
"36-014 Anvik","4","4","0","17","0"
"36-018 Arctic Village","0","4","0","47","2"
"36-022 Beaver","3","2","0","12","0"
"36-026 Bettles","1","1","0","9","0"
"36-034 Central","0","0","0","40","1"
"36-038 Chistochina","2","0","0","67","2"
"36-042 Circle","3","2","0","15","0"
"36-046 Copper Center","44","25","2","281","2"
"36-050 Delta Junction","33","23","2","298","2"
"36-054 Deltana","92","38","5","1061","2"
"36-058 Dot Lake","1","0","0","48","0"
"36-062 Eagle","6","3","1","58","1"
"36-066 Fort Yukon","8","3","2","124","3"
"36-070 Gakona","8","2","4","96","0"
"36-074 Galena","24","14","0","107","1"
"36-078 Glennallen","31","7","1","140","0"
"36-082 Grayling","8","9","2","32","4"
"36-086 Holy Cross","7","8","1","25","0"
"36-090 Hughes","1","2","0","27","0"
"36-094 Huslia","12","8","4","70","1"
"36-098 Kaltag","7","5","1","25","2"
"36-102 Kenny Lake","20","9","0","156","0"
"36-106 Koyukuk","6","4","1","17","1"
"36-110 Manley","2","1","0","44","0"
"36-114 McGrath","7","5","3","77","2"
"36-118 Mentasta","1","8","0","30","0"
"36-122 Minto","10","2","0","38","1"
"36-126 Nenana","39","28","3","243","1"
"36-130 Nikolai","4","0","0","22","1"
"36-134 Northway","18","5","0","44","4"
"36-138 Nulato","10","4","0","62","1"
"36-142 Ruby","0","1","0","29","0"
"36-146 Shageluk","7","7","0","8","1"
"36-162 Tanana","3","4","0","72","0"
"36-166 Tetlin","5","2","0","23","0"
"36-170 Tok","64","18","9","429","2"
"36-174 Venetie","3","1","1","40","0"
"37-700 Akutan","6","3","0","39","1"
"37-702 Aleknagik","12","8","1","45","3"
"37-704 Aleutians No. 1","2","1","1","15","0"
"37-706 Aleutians No. 2","38","28","1","464","3"
"37-707 Aniak","22","7","1","75","2"
"37-708 Chignik","2","2","1","11","0"
"37-709 Chuathbaluk","3","4","0","10","2"
