"1","Kennedy/Shanahan","Sonski/Onak","Blank","Exhausted","Overvote"
"House District 1","1490","395","60","6692","32"
"House District 10","1591","536","60","6626","31"
"House District 11","1541","588","71","7700","28"
"House District 12","1486","624","35","6398","26"
"House District 13","1516","486","32","5568","30"
"House District 14","1362","502","38","5550","43"
"House District 15","1720","525","65","7038","33"
"House District 16","1626","655","61","7372","32"
"House District 17","1340","486","38","5875","54"
"House District 18","1063","280","16","3470","11"
"House District 19","881","371","14","3761","39"
"House District 2","1785","530","57","7244","50"
"House District 20","1346","565","31","5340","45"
"House District 21","1594","570","34","6859","51"
"House District 22","1173","422","25","3852","49"
"House District 23","2045","567","50","8061","19"
"House District 24","1698","580","55","7832","17"
"House District 25","2000","514","59","7939","20"
"House District 26","1852","370","31","7220","19"
"House District 27","1647","493","41","6715","16"
"House District 28","1740","459","47","7071","14"
"House District 29","1918","409","56","8166","21"
"House District 3","1723","740","52","8641","14"
"House District 30","1718","412","57","8171","31"
"House District 31","1445","518","53","5020","48"
"House District 32","1337","458","26","4063","17"
"House District 33","1898","501","31","6448","22"
"House District 34","1994","579","61","7428","30"
"House District 35","1721","755","51","7248","22"
"House District 36","1660","563","85","7358","54"
"House District 37","974","233","37","3127","73"
"House District 38","1282","348","29","2125","92"
"House District 39","1399","378","34","2394","103"
"House District 4","1382","657","47","7221","28"
"House District 40","906","305","31","2071","49"
"House District 5","1553","381","55","6079","29"
"House District 6","1685","516","56","9791","15"
"House District 7","1780","439","56","7378","34"
"House District 8","1631","483","54","8684","16"
"House District 9","1930","621","97","9277","13"
"House District 99","36","44","0","321","0"
"Total","62468","19858","1888","255194","1370"
