"1","Costello","Costello","Costello","Costello","Darden","Darden","Darden","Wells","Wells","Wells","Wells","Blank","Overvote"
"2","","Darden","Overvote","Wells","","Costello","Wells","","Costello","Darden","Overvote","",""
"15-405 Southwest Anchorage No. 1","303","13","0","49","8","2","9","163","32","70","2","16","0"
"15-410 Southwest Anchorage No. 2","351","19","0","59","9","1","8","165","53","103","1","25","0"
"15-415 Southwest Anchorage No. 3","396","21","1","76","12","2","17","222","57","111","0","28","0"
"15-420 Southwest Anchorage No. 4","307","25","2","64","13","1","14","202","49","115","0","38","0"
"15-425 Southwest Anchorage No. 5","335","21","0","54","6","1","11","187","51","108","0","20","0"
"15-430 Southwest Anchorage No. 6","582","33","0","65","5","5","14","239","71","132","0","35","1"
"District 15 - Absentee","726","24","1","95","15","2","34","708","106","306","0","57","0"
"District 15 - Early Voting","801","37","1","58","13","6","33","429","64","252","0","48","1"
"District 15  - Question","26","0","0","4","2","0","3","11","4","8","0","1","0"
"Total","3827","193","5","524","83","20","143","2326","487","1205","3","268","2"
