"1","Begich","Howe","Blank","Exhausted","Overvote"
"16-455 West Anchorage No. 2","334","128","3","331","3"
"16-460 West Anchorage No. 3","460","163","13","417","1"
"16-465 West Anchorage No. 4","257","79","7","193","0"
"16-470 West Anchorage No. 5","476","120","5","309","0"
"16-475 West Anchorage No. 6","381","114","7","268","0"
"16-480 West Anchorage No. 7","292","110","12","203","3"
"17-505 Downtown Anchorage No. 1","134","54","5","154","0"
"17-510 Downtown Anchorage No. 2","151","88","2","252","1"
"17-515 Downtown Anchorage No. 3","122","58","1","166","0"
"17-520 Downtown Anchorage No. 4","233","124","3","272","4"
"17-525 Downtown Anchorage No. 5","137","94","12","188","2"
"17-530 Downtown Anchorage No. 6","103","82","8","120","3"
"17-535 Downtown Anchorage No. 7","179","84","11","173","0"
"18-550 Government Hill","161","72","11","172","3"
"18-555 JBER No.1","530","114","25","163","0"
"18-556 JBER No.2","136","42","11","49","0"
"18-560 North Muldoon","160","53","6","131","1"
"18-565 Ship Creek","26","20","4","36","0"
"19-605 Airport Heights No. 1","242","125","9","348","0"
"19-610 Airport Heights No. 2","306","103","14","296","4"
"19-615 Mountainview No. 1","151","86","8","156","1"
"19-620 Mountainview No. 2","158","62","8","149","3"
"19-625 South Mountainview","199","66","14","182","1"
"20-650 University No. 1","114","60","10","83","3"
"20-655 University No. 2","420","159","16","324","1"
"20-660 University No. 3","392","162","10","351","4"
"20-665 University No. 4","190","74","9","154","0"
"20-670 University No. 5","609","216","18","461","8"
"21-705 East Anchorage No. 1","320","100","9","262","3"
"21-710 East Anchorage No. 2","426","128","3","245","2"
"21-715 East Anchorage No. 3","561","192","16","346","2"
"21-720 East Anchorage No. 4","405","116","11","324","2"
"21-725 East Anchorage No. 5","569","209","8","429","2"
"22-750 Northeast Anchorage No. 1","378","162","14","268","4"
"22-755 Northeast Anchorage No. 2","391","152","13","203","7"
"22-760 Northeast Anchorage No. 3","398","158","14","320","3"
"22-765 Northeast Anchorage No. 4","272","119","11","166","6"
"23-805 Chugach Park No. 1","605","156","16","289","0"
"23-810 Eagle River No. 1","351","100","5","175","1"
"23-815 Eagle River No. 2","383","115","6","177","0"
"23-820 Hiland","390","91","9","148","0"
"23-825 Meadow Creek No. 1","401","116","5","200","1"
"23-830 Meadow Creek No. 2","254","66","7","96","0"
"24-850 Chugach Park No. 2","452","61","6","158","2"
"24-855 Chugiak","230","50","4","84","0"
"24-860 Eagle River No. 3","377","92","6","138","1"
"24-865 Eklutna","397","87","9","149","0"
"24-870 Fire Lake","459","89","7","168","2"
"24-875 Peters Creek No. 1","657","127","12","185","2"
"24-880 Peters Creek No. 2","341","65","5","115","0"
"25-305 Butte","817","158","24","208","1"
"25-310 Greater Palmer","352","81","8","101","0"
"25-315 Lazy Mountain","521","99","5","162","1"
"25-320 Palmer City No. 1","308","90","13","140","0"
"25-325 Palmer City No. 2","312","113","10","125","2"
"25-330 Springer Loop","512","97","13","127","2"
"25-335 Walby","485","67","15","102","1"
"26-350 Fairview No. 1","365","64","11","57","1"
"26-355 Fairview No. 2","263","55","10","64","2"
"26-360 Knik Goose Bay No. 1","840","153","33","150","0"
"26-365 Knik Goose Bay No. 2","536","117","16","114","0"
"26-370 Knik Goose Bay No. 3","333","80","19","78","0"
"26-375 Mat-Su Campus","414","82","10","126","1"
"26-380 Snowshoe","691","137","20","139","0"
"27-405 Foothills","518","88","10","100","0"
"27-410 Meadow Lakes No. 1","775","139","11","141","1"
"27-415 Meadow Lakes No. 2","660","110","19","102","5"
"27-420 Wasilla No. 1","503","102","16","119","2"
"27-425 Wasilla No. 2","653","122","18","150","0"
"28-450 Lakes No. 1","425","75","5","85","0"
"28-455 Lakes No. 2","281","55","5","65","0"
"28-460 Seldon No. 1","708","100","21","121","3"
"28-465 Seldon No. 2","625","146","12","166","1"
"28-470 Seward Meridian","271","45","6","81","0"
"28-475 Trunk","483","121","16","137","2"
"28-480 Wasilla Lake","276","62","1","56","0"
"29-505 Farm Loop","713","113","11","139","1"
"29-510 Fishhook","920","176","29","271","2"
"29-515 Kings Lake","636","98","15","136","0"
"29-520 Lakes No. 3","246","52","6","49","0"
"29-525 Sheep Mountain","120","7","2","21","0"
"29-530 Sutton","328","65","11","99","1"
"29-535 Valdez No. 1","275","61","9","130","0"
"29-540 Valdez No. 2","115","41","4","63","1"
"29-545 Valdez No. 3","216","51","6","106","0"
"30-550 Anderson/Clear","89","18","4","26","0"
"30-555 Big Lake","835","158","30","168","3"
"30-560 Cantwell","38","11","1","36","0"
"30-565 Denali Park","10","19","0","43","0"
"30-570 East Schrock","68","13","0","9","0"
"30-575 Healy","223","54","6","91","0"
"30-580 Houston","352","85","15","72","1"
"30-585 Knik Goose Bay No. 4","798","131","23","163","0"
"30-590 Trapper Creek","74","15","6","23","1"
"30-595 Susitna","318","66","10","103","0"
"30-600 Talkeetna","88","54","2","116","0"
"30-605 Willow","666","111","28","185","6"
"31-446 Aurora","434","145","10","303","0"
"31-455 Fairbanks No. 1","400","173","13","351","4"
"31-480 Fairbanks No. 2","445","170","6","292","1"
"31-485 Fairbanks No. 3","394","173","22","283","2"
"32-355 Fairbanks No. 4","426","149","9","219","1"
"32-365 Fairbanks No. 5","285","103","8","193","0"
"32-375 Fort Wainwright","251","58","14","53","1"
"32-385 Badger No. 2","760","191","19","209","1"
"33-130 Badger No. 1","797","181","16","188","1"
"33-135 Chena Lakes","874","148","11","145","1"
"33-155 Moose Creek","98","26","2","22","0"
"33-165 Newby","897","174","15","162","1"
"33-175 North Pole","522","116","13","87","0"
"33-183 Plack","859","127","22","130","0"
"34-235 Eielson","213","55","12","52","0"
