"1","Begich","Hafner","Blank","Exhausted","Overvote"
"House District 1","4607","1152","184","2605","13"
"House District 10","4289","1540","145","2801","21"
"House District 11","4996","1597","85","3181","13"
"House District 12","4084","1600","95","2728","15"
"House District 13","3529","1604","104","2310","11"
"House District 14","2723","1673","136","2876","20"
"House District 15","4719","1593","97","2895","14"
"House District 16","4036","1980","102","3563","14"
"House District 17","2466","1848","150","3219","24"
"House District 18","2154","727","156","1113","7"
"House District 19","1839","1013","102","2007","23"
"House District 2","4123","1598","303","3497","27"
"House District 20","3053","1593","117","2457","25"
"House District 21","3956","1851","112","3096","29"
"House District 22","2525","1171","100","1625","29"
"House District 23","6183","1455","148","2823","5"
"House District 24","6429","1221","135","2302","13"
"House District 25","6632","1328","189","2254","15"
"House District 26","6709","922","217","1547","5"
"House District 27","6365","820","161","1443","16"
"House District 28","6444","970","141","1690","11"
"House District 29","7083","1097","180","2106","8"
"House District 3","4380","2077","153","4436","18"
"House District 30","6785","1135","237","2128","21"
"House District 31","3266","1232","109","2294","28"
"House District 32","3102","822","109","1204","8"
"House District 33","6247","941","146","1438","9"
"House District 34","5389","1484","202","2615","14"
"House District 35","4390","1999","116","3195","11"
"House District 36","5350","1292","174","2773","25"
"House District 37","2027","636","109","1563","37"
"House District 38","1477","814","52","1443","45"
"House District 39","1659","814","80","1666","39"
"House District 4","2720","2186","108","4205","21"
"House District 40","1376","635","77","1201","21"
"House District 5","4059","1147","156","2554","24"
"House District 6","6325","1794","261","3558","14"
"House District 7","6330","986","215","2038","17"
"House District 8","7570","1000","185","2014","9"
"House District 9","5778","2013","125","3957","9"
"House District 99","68","150","15","164","1"
"Total","177242","53510","5788","98584","729"
