"1","Begich","Hafner","Blank","Exhausted","Overvote"
"16-450 West Anchorage No. 1","197","141","7","315","0"
"16-455 West Anchorage No. 2","338","189","3","266","3"
"16-460 West Anchorage No. 3","458","210","13","372","1"
"16-465 West Anchorage No. 4","260","103","7","166","0"
"16-470 West Anchorage No. 5","482","150","5","273","0"
"16-475 West Anchorage No. 6","393","136","7","234","0"
"16-480 West Anchorage No. 7","303","119","12","184","2"
"17-505 Downtown Anchorage No. 1","131","75","5","136","0"
"17-510 Downtown Anchorage No. 2","148","101","2","242","1"
"17-515 Downtown Anchorage No. 3","125","80","1","141","0"
"17-520 Downtown Anchorage No. 4","232","177","3","220","4"
"17-525 Downtown Anchorage No. 5","138","113","12","168","2"
"17-530 Downtown Anchorage No. 6","108","89","8","107","4"
"17-535 Downtown Anchorage No. 7","180","106","11","150","0"
"18-550 Government Hill","167","84","11","154","3"
"18-555 JBER No.1","553","101","25","153","0"
"18-556 JBER No.2","140","46","11","41","0"
"18-560 North Muldoon","161","54","6","129","1"
"18-565 Ship Creek","27","27","4","28","0"
"19-605 Airport Heights No. 1","249","173","9","293","0"
"19-610 Airport Heights No. 2","318","96","14","291","4"
"19-615 Mountainview No. 1","159","95","8","139","1"
"19-620 Mountainview No. 2","162","62","8","145","3"
"19-625 South Mountainview","208","59","14","180","1"
"20-650 University No. 1","114","80","10","63","3"
"20-655 University No. 2","419","185","16","299","1"
"20-660 University No. 3","391","219","10","295","4"
"20-665 University No. 4","191","96","9","131","0"
"20-670 University No. 5","605","279","18","402","8"
"21-705 East Anchorage No. 1","325","126","9","231","3"
"21-710 East Anchorage No. 2","433","153","3","213","2"
"21-715 East Anchorage No. 3","565","220","16","314","2"
"21-720 East Anchorage No. 4","408","153","11","284","2"
"21-725 East Anchorage No. 5","573","255","8","379","2"
"22-750 Northeast Anchorage No. 1","392","178","14","238","4"
"22-755 Northeast Anchorage No. 2","392","174","13","180","7"
"22-760 Northeast Anchorage No. 3","402","179","14","295","3"
"22-765 Northeast Anchorage No. 4","279","124","11","155","5"
"23-805 Chugach Park No. 1","630","142","16","278","0"
"23-810 Eagle River No. 1","367","91","5","168","1"
"23-815 Eagle River No. 2","402","110","6","163","0"
"23-820 Hiland","404","77","9","148","0"
"23-825 Meadow Creek No. 1","430","113","5","174","1"
"23-830 Meadow Creek No. 2","271","47","7","98","0"
"24-850 Chugach Park No. 2","455","76","6","140","2"
"24-855 Chugiak","236","39","4","89","0"
"24-860 Eagle River No. 3","387","85","6","135","1"
"24-865 Eklutna","403","87","9","143","0"
"24-870 Fire Lake","473","86","7","156","3"
"24-875 Peters Creek No. 1","673","100","12","196","2"
"24-880 Peters Creek No. 2","344","57","5","120","0"
"25-305 Butte","847","123","24","213","1"
"25-310 Greater Palmer","358","70","8","106","0"
"25-315 Lazy Mountain","531","88","5","163","1"
"25-320 Palmer City No. 1","321","80","13","137","0"
"25-325 Palmer City No. 2","323","106","10","121","2"
"25-330 Springer Loop","526","80","13","130","2"
"25-335 Walby","491","66","15","97","1"
"26-350 Fairview No. 1","375","40","11","71","1"
"26-355 Fairview No. 2","271","44","10","67","2"
"26-360 Knik Goose Bay No. 1","866","104","33","173","0"
"26-365 Knik Goose Bay No. 2","556","73","16","138","0"
"26-370 Knik Goose Bay No. 3","352","55","19","84","0"
"26-375 Mat-Su Campus","430","68","10","124","1"
"26-380 Snowshoe","722","97","20","148","0"
"27-405 Foothills","544","61","10","100","1"
"27-410 Meadow Lakes No. 1","801","94","11","160","1"
"27-415 Meadow Lakes No. 2","684","60","19","128","5"
"27-420 Wasilla No. 1","517","87","16","120","2"
"27-425 Wasilla No. 2","676","82","18","167","0"
"28-450 Lakes No. 1","439","53","5","93","0"
"28-455 Lakes No. 2","286","47","5","68","0"
"28-460 Seldon No. 1","722","65","21","142","3"
"28-465 Seldon No. 2","639","111","12","187","1"
"28-470 Seward Meridian","276","29","6","92","0"
"28-475 Trunk","508","103","16","130","2"
"28-480 Wasilla Lake","282","50","1","62","0"
"29-505 Farm Loop","731","68","11","166","1"
"29-510 Fishhook","947","137","29","283","2"
"29-515 Kings Lake","654","78","15","138","0"
"29-520 Lakes No. 3","260","42","6","45","0"
"29-525 Sheep Mountain","121","4","2","23","0"
"29-530 Sutton","328","58","11","106","1"
"29-535 Valdez No. 1","280","58","9","128","0"
"29-540 Valdez No. 2","122","35","4","62","1"
