"1","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Blank","Overvote"
"2","","Hafner","Hafner","Hafner","Hafner","Howe","Howe","Howe","Howe","Overvote","Peltola","Peltola","Peltola","Peltola","","Begich","Begich","Begich","Begich","Howe","Howe","Howe","Howe","Overvote","Peltola","Peltola","Peltola","Peltola","","Begich","Begich","Begich","Begich","Hafner","Hafner","Hafner","Hafner","Overvote","Peltola","Peltola","Peltola","Peltola","","Begich","Begich","Begich","Begich","Hafner","Hafner","Hafner","Hafner","Howe","Howe","Howe","Howe","Overvote","",""
"3","","","Howe","Overvote","Peltola","","Hafner","Overvote","Peltola","","","Hafner","Howe","Overvote","","","Howe","Overvote","Peltola","","Begich","Overvote","Peltola","","","Begich","Howe","Overvote","","","Hafner","Overvote","Peltola","","Begich","Overvote","Peltola","","","Begich","Hafner","Overvote","","","Hafner","Howe","Overvote","","Begich","Howe","Overvote","","Begich","Hafner","Overvote","","",""
"04-130 Glacier Valley Area","102","1","4","0","0","20","7","0","4","1","2","3","7","0","1","0","0","0","0","0","1","0","2","0","0","0","1","0","3","2","1","0","1","0","1","0","4","0","2","2","0","0","104","8","4","5","0","21","6","34","0","8","4","17","0","0","3","2"
"04-135 North Douglas","67","1","3","0","0","13","6","0","2","0","4","2","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","1","0","0","0","1","0","1","0","178","11","4","2","0","53","2","58","0","9","4","12","0","0","6","0"
"05-800 Chiniak","25","0","0","0","0","2","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","16","0","0","0","0","0","1","2","0","1","0","1","0","0","1","0"
"05-810 Flats","241","2","5","0","0","37","13","0","8","0","7","2","7","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","21","5","0","0","2","0","0","0","0","0","1","4","1","0","114","5","2","2","0","18","4","15","0","17","6","12","0","0","9","1"
"05-815 Kodiak Island South","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"05-820 Kodiak No. 1","240","1","3","0","2","12","18","0","7","0","11","6","6","0","4","0","1","0","0","0","2","0","1","0","0","1","1","0","10","3","2","0","2","1","3","0","2","0","0","2","1","0","198","10","4","8","0","29","3","15","0","5","5","15","0","0","13","2"
"05-825 Kodiak No. 2","247","0","6","0","3","12","13","0","4","0","9","2","8","0","4","0","0","0","0","0","1","0","0","0","0","0","1","0","23","6","5","0","3","0","1","0","1","0","1","2","4","0","218","18","5","2","0","18","4","27","0","5","4","22","1","0","14","2"
"05-830 Mission Road","545","2","12","1","3","68","40","0","21","0","14","6","13","0","4","3","0","0","1","0","0","0","0","0","1","1","0","0","30","16","9","0","6","0","1","0","4","0","1","2","2","0","340","20","14","11","0","42","16","67","0","22","9","38","0","0","22","1"
"05-835 Old Harbor","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","14","1","0","0","0","1","0","3","0","1","0","0","0","0","1","0"
"05-840 Ouzinkie","9","0","3","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","29","1","1","1","0","1","0","4","0","1","1","0","0","0","1","0"
