"1","Begich","Howe","Blank","Exhausted","Overvote"
"House District 1","4507","1181","184","2676","13"
"House District 10","4266","1226","145","3137","22"
"House District 11","4909","1315","85","3551","12"
"House District 12","4041","1250","95","3119","17"
"House District 13","3477","1267","104","2697","13"
"House District 14","2663","1295","136","3313","21"
"House District 15","4615","1271","97","3320","15"
"House District 16","4014","1415","102","4149","15"
"House District 17","2468","1272","150","3792","25"
"House District 18","2097","611","156","1286","7"
"House District 19","1782","848","102","2230","22"
"House District 2","3984","1528","303","3703","30"
"House District 20","3045","1204","117","2854","25"
"House District 21","3939","1366","112","3598","29"
"House District 22","2460","1002","100","1858","30"
"House District 23","5963","1377","148","3121","5"
"House District 24","6341","1145","135","2467","12"
"House District 25","6493","1317","189","2404","15"
"House District 26","6512","1138","217","1527","6"
"House District 27","6171","1047","161","1411","15"
"House District 28","6312","1121","141","1671","11"
"House District 29","6933","1213","180","2140","8"
"House District 3","4214","1753","153","4927","17"
"House District 30","6579","1292","237","2180","18"
"House District 31","3095","1268","109","2428","29"
"House District 32","3028","817","109","1284","7"
"House District 33","6080","1148","146","1397","10"
"House District 34","5195","1463","202","2831","13"
"House District 35","4219","1623","116","3743","10"
"House District 36","5237","1265","174","2912","26"
"House District 37","2005","626","109","1597","35"
"House District 38","1437","833","52","1468","41"
"House District 39","1523","985","80","1635","35"
"House District 4","2696","1533","108","4881","22"
"House District 40","1359","675","77","1176","23"
"House District 5","3963","1101","156","2699","21"
"House District 6","6221","1528","261","3930","12"
"House District 7","6144","1142","215","2067","18"
"House District 8","7440","1032","185","2110","11"
"House District 9","5734","1585","125","4427","11"
"House District 99","78","52","15","252","1"
"Total","173239","48130","5788","107968","728"
