"1","Begich","Begich","Begich","Begich","Howe","Howe","Howe","Howe","Peltola","Peltola","Peltola","Peltola","Blank","Exhausted","Overvote"
"2","","Howe","Overvote","Peltola","","Begich","Overvote","Peltola","","Begich","Howe","Overvote","","",""
"08-035 Bear Creek","223","60","0","11","18","7","0","4","193","16","55","1","8","1","0"
"08-040 Cooper Landing","61","8","0","1","2","0","0","0","58","3","14","0","0","0","0"
"08-045 Funny River No. 1","195","34","0","2","20","1","0","0","59","6","20","1","2","0","0"
"08-050 Funny River No. 2","153","39","0","3","4","6","0","3","39","8","9","0","10","0","0"
"08-055 Hope","17","3","0","0","1","0","0","0","33","2","11","0","2","0","0"
"08-060 Mackey Lake","300","59","0","11","10","6","0","1","90","22","26","0","14","0","0"
"08-065 Moose Pass","61","12","0","1","5","2","0","0","65","2","11","0","2","0","0"
"08-070 Nikiski","465","102","0","11","20","30","0","6","108","14","30","0","17","0","0"
"08-075 Salamatof","445","77","1","14","39","21","0","8","89","9","50","0","14","0","1"
"08-080 Sterling No. 1","403","85","0","14","17","17","0","5","103","19","31","0","11","2","0"
"08-085 Sterling No. 2","502","86","0","13","22","11","0","2","113","20","27","0","19","3","0"
"09-105 Girdwood","128","35","0","12","6","5","0","5","401","41","179","0","14","3","1"
"09-110 Indian","39","3","0","0","4","1","0","1","64","1","13","0","4","1","0"
"09-115 South Anchorage No. 1","437","101","0","34","14","15","0","5","338","45","140","1","7","3","0"
"09-120 South Anchorage No. 2","566","99","0","14","16","14","0","2","303","75","114","0","9","3","1"
"09-125 South Anchorage No. 3","422","93","0","14","17","8","0","6","316","39","109","0","8","2","1"
"09-130 South Anchorage No. 4","474","83","0","29","6","3","0","4","334","71","107","1","13","4","0"
"09-135 South Anchorage No. 5","200","36","0","13","3","3","0","2","159","17","64","1","2","0","0"
"09-140 Stuckagain Heights","51","8","0","3","0","0","0","0","68","7","20","0","2","0","0"
"09-145 Whittier","38","5","0","0","0","0","0","1","18","8","9","0","4","0","0"
"10-150 Dimond","259","76","0","22","18","11","0","11","245","41","110","1","22","7","1"
"10-155 Oceanview No. 1","384","78","1","40","9","8","0","4","336","54","109","0","17","4","1"
"10-160 Oceanview No. 2","261","52","0","18","13","6","0","6","227","34","72","1","25","0","3"
"10-165 Oceanview No. 3","353","84","1","22","18","4","1","10","273","42","128","2","15","5","3"
"10-170 Oceanview No. 4","314","65","0","29","4","6","0","5","268","35","97","0","8","1","2"
"10-175 Oceanview No. 5","246","55","0","23","16","4","0","8","221","23","63","0","12","4","0"
"11-205 Hillside No. 1","217","51","0","19","17","11","0","13","180","29","81","2","8","0","3"
"11-210 Hillside No. 2","441","101","1","43","14","21","0","12","358","59","150","0","8","1","2"
"11-215 Hillside No. 3","289","42","0","9","3","5","0","6","177","33","59","0","17","0","0"
"11-220 Hillside No. 4","323","50","0","13","3","5","0","6","185","31","60","0","6","2","1"
"11-225 Hillside No. 5","326","22","0","13","13","7","0","4","291","17","51","0","3","4","0"
"11-230 Hillside No. 6","312","56","0","15","5","8","0","3","247","28","100","0","5","1","1"
"11-235 Hillside No. 7","245","43","0","18","2","3","0","6","235","23","69","0","3","1","0"
"12-250 Southeast Anchorage No. 1","301","89","0","21","19","13","0","10","238","48","120","1","13","4","3"
"12-255 Southeast Anchorage No. 2","190","50","0","18","10","5","0","1","132","20","60","0","2","0","0"
"12-260 Southeast Anchorage No. 3","278","65","0","30","11","15","0","7","228","57","97","0","7","4","0"
"12-265 Southeast Anchorage No. 4","299","52","0","19","17","9","0","4","266","35","94","0","12","2","0"
"12-270 Southeast Anchorage No. 5","345","78","0","38","10","7","0","8","285","58","124","1","9","2","3"
"12-275 Southeast Anchorage No. 6","254","46","1","27","6","9","0","1","315","40","97","0","4","0","2"
"13-305 South Midtown No. 1","83","30","0","5","2","5","0","3","55","15","25","0","0","0","0"
"13-310 South Midtown No. 2","397","74","0","25","12","15","0","16","347","53","121","2","16","10","0"
"13-315 South Midtown No. 3","335","87","0","27","20","21","0","9","286","48","130","0","13","4","0"
"13-320 South Midtown No. 4","326","62","1","24","15","16","0","17","283","46","137","0","23","3","1"
"13-325 South Midtown No. 5","246","82","0","26","13","17","0","5","366","51","161","2","12","7","1"
"14-350 North Midtown No. 1","59","22","0","12","6","2","0","1","124","17","44","0","3","0","0"
"14-355 North Midtown No. 2","100","20","0","5","8","10","0","2","161","17","56","0","7","3","0"
"14-360 North Midtown No. 3","102","20","0","13","5","12","0","4","107","12","40","0","5","1","0"
"14-365 North Midtown No. 4","120","29","0","12","11","7","0","5","156","26","75","0","9","2","0"
"14-370 North Midtown No. 5","195","60","0","11","23","9","0","9","288","27","106","1","13","4","1"
"14-375 North Midtown No. 6","147","36","0","13","3","12","0","3","174","27","65","3","11","3","1"
"14-380 North Midtown No. 7","219","40","0","13","6","7","0","8","423","27","117","0","7","1","0"
"15-405 Southwest Anchorage No. 1","260","56","0","17","10","4","0","5","210","37","61","0","7","0","0"
"15-410 Southwest Anchorage No. 2","293","62","0","23","10","12","0","8","230","47","97","0","6","5","1"
"15-415 Southwest Anchorage No. 3","339","62","0","33","10","12","0","12","299","59","103","1","9","4","0"
"15-420 Southwest Anchorage No. 4","268","68","0","22","8","16","1","11","273","36","104","0","14","5","4"
"15-425 Southwest Anchorage No. 5","266","62","0","18","9","12","0","10","274","43","89","0","8","2","1"
"15-430 Southwest Anchorage No. 6","477","99","1","31","5","14","0","9","344","54","123","1","15","7","2"
"16-450 West Anchorage No. 1","121","28","0","12","2","2","0","2","352","43","89","1","7","1","0"
"16-455 West Anchorage No. 2","193","57","0","27","7","8","0","5","330","57","108","2","3","1","1"
"16-460 West Anchorage No. 3","299","65","0","22","6","7","0","6","412","74","144","0","13","5","1"
"16-465 West Anchorage No. 4","157","51","0","18","4","8","0","2","191","31","65","0","7","2","0"
"16-470 West Anchorage No. 5","322","77","0","17","8","11","0","6","309","60","95","0","5","0","0"
"16-475 West Anchorage No. 6","282","47","0","12","10","11","0","3","266","40","90","0","7","2","0"
"16-480 West Anchorage No. 7","180","56","0","19","8","10","0","8","201","37","84","1","12","2","2"
