"1","Goecker","Goecker","Goecker","Goecker","Hammermeister","Hammermeister","Hammermeister","Hammermeister","Merrick","Merrick","Merrick","Merrick","Blank","Overvote"
"2","","Hammermeister","Merrick","Overvote","","Goecker","Merrick","Overvote","","Goecker","Hammermeister","Overvote","",""
"23-805 Chugach Park No. 1","230","15","125","0","74","18","51","0","287","131","89","0","46","0"
"23-810 Eagle River No. 1","148","9","75","0","54","4","26","0","179","79","38","0","19","1"
"23-815 Eagle River No. 2","145","9","83","0","44","15","37","0","181","101","47","1","18","0"
"23-820 Hiland","112","16","62","0","51","10","19","0","214","91","47","0","16","0"
"23-825 Meadow Creek No. 1","160","14","89","0","47","12","42","0","194","95","51","1","15","3"
"23-830 Meadow Creek No. 2","116","5","42","0","24","5","13","0","124","53","30","0","10","1"
"24-850 Chugach Park No. 2","176","6","49","0","36","3","20","0","210","90","64","0","23","2"
"24-855 Chugiak","100","9","37","0","28","3","12","0","92","46","21","0","20","0"
"24-860 Eagle River No. 3","142","7","55","0","47","14","28","0","163","81","41","0","36","0"
"24-865 Eklutna","166","10","61","0","54","10","19","1","163","68","56","2","32","0"
"24-870 Fire Lake","170","12","69","0","50","11","21","0","224","100","40","0","25","3"
"24-875 Peters Creek No. 1","296","11","98","0","48","7","36","0","290","116","49","0","32","0"
"24-880 Peters Creek No. 2","147","13","53","0","38","2","19","0","151","44","32","0","27","0"
"District 23 - Absentee","475","26","261","0","373","33","150","0","671","296","209","0","125","1"
"District 23 - Early Voting","1173","69","362","1","254","33","115","0","900","305","227","0","77","1"
"District 23  - Question","25","2","15","0","11","1","3","0","43","29","5","0","9","0"
"District 24 - Absentee","373","19","173","1","257","26","91","0","553","209","119","0","98","3"
"District 24 - Early Voting","1177","53","295","1","221","31","95","0","808","273","197","0","106","3"
"District 24  - Question","33","6","16","0","17","3","3","0","37","25","10","0","27","1"
"Total","5364","311","2020","3","1728","241","800","1","5484","2232","1372","4","761","19"
