"1","Goecker","Goecker","Goecker","Goecker","Goecker","Goecker","Goecker","Goecker","Goecker","Goecker","Goecker","Goecker","Hammermeister","Hammermeister","Hammermeister","Hammermeister","Hammermeister","Hammermeister","Hammermeister","Hammermeister","Hammermeister","Hammermeister","Hammermeister","Merrick","Merrick","Merrick","Merrick","Merrick","Merrick","Merrick","Merrick","Merrick","Merrick","Merrick","Merrick","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Blank","Overvote"
"2","","Hammermeister","Hammermeister","Hammermeister","Hammermeister","Merrick","Merrick","Merrick","Overvote","Write-in","Write-in","Write-in","","Goecker","Goecker","Merrick","Merrick","Merrick","Merrick","Overvote","Write-in","Write-in","Write-in","","Goecker","Goecker","Goecker","Goecker","Hammermeister","Hammermeister","Hammermeister","Overvote","Write-in","Write-in","Write-in","","Goecker","Goecker","Goecker","Hammermeister","Hammermeister","Merrick","Merrick","Merrick","Overvote","",""
"3","","","Merrick","Overvote","Write-in","","Hammermeister","Write-in","","","Hammermeister","Merrick","","","Merrick","","Goecker","Overvote","Write-in","","","Goecker","Merrick","","","Hammermeister","Overvote","Write-in","","Goecker","Write-in","","","Goecker","Hammermeister","","","Hammermeister","Merrick","","Goecker","","Goecker","Hammermeister","","",""
"23-805 Chugach Park No. 1","228","4","10","0","1","91","30","1","0","2","0","2","73","3","15","25","26","0","0","0","1","0","0","285","81","48","0","2","48","38","0","0","2","0","3","2","0","0","1","0","0","0","0","0","0","44","0"
"23-810 Eagle River No. 1","147","2","5","0","1","52","23","0","0","1","1","0","52","0","4","6","20","0","0","0","1","0","0","179","45","30","0","3","17","19","1","0","0","0","1","0","0","0","0","1","0","0","1","0","0","19","1"
"23-815 Eagle River No. 2","144","3","6","0","0","53","28","2","0","1","0","0","44","4","10","16","21","0","0","0","0","1","0","179","51","46","0","3","22","20","2","1","2","1","3","1","0","0","0","0","0","0","0","0","0","17","0"
"23-820 Hiland","112","6","9","1","0","44","18","0","0","0","0","0","51","4","6","10","9","0","0","0","0","0","0","214","54","37","0","0","28","18","0","0","0","0","1","3","0","0","0","0","0","0","0","0","0","13","0"
"23-825 Meadow Creek No. 1","159","6","8","0","0","54","33","1","0","1","0","1","47","3","9","18","23","0","1","0","0","0","0","192","59","35","0","1","24","24","2","1","2","0","1","3","0","0","0","0","0","0","0","0","0","12","3"
"23-830 Meadow Creek No. 2","116","1","3","0","1","35","7","0","0","0","0","0","23","2","3","7","5","0","1","0","1","0","0","124","29","23","0","1","13","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","1"
"24-850 Chugach Park No. 2","173","1","5","0","0","39","8","2","0","2","0","0","36","1","2","7","13","0","0","0","0","0","0","210","60","30","0","0","33","26","3","0","0","0","1","0","1","0","0","0","0","0","0","1","1","23","1"
"24-855 Chugiak","100","3","6","0","0","24","13","0","0","0","0","0","27","1","2","6","6","0","0","0","0","0","0","92","28","17","0","1","11","10","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","19","0"
"24-860 Eagle River No. 3","142","2","5","0","0","31","22","2","0","0","0","0","47","3","10","14","13","0","0","0","0","1","1","162","55","25","0","1","17","24","0","0","1","0","0","3","0","0","0","0","0","0","0","0","0","33","0"
"24-865 Eklutna","165","2","8","0","0","40","20","1","0","1","0","0","54","3","7","10","7","1","0","1","0","0","1","162","43","25","0","0","31","25","0","2","1","0","0","1","0","0","0","0","0","0","0","0","0","31","0"
"24-870 Fire Lake","170","1","9","0","0","45","23","1","0","0","0","0","50","1","10","7","14","0","0","0","0","0","0","224","51","48","0","1","20","19","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","25","3"
"24-875 Peters Creek No. 1","294","3","8","0","0","69","27","2","0","2","0","0","48","0","7","17","19","0","0","0","0","0","0","289","66","47","0","2","28","18","1","0","0","1","2","0","0","0","0","0","0","1","0","0","0","32","0"
"24-880 Peters Creek No. 2","147","7","5","0","0","35","16","0","0","0","1","2","37","1","1","6","11","0","0","0","1","0","2","151","26","18","0","0","13","16","1","0","0","0","2","1","0","0","0","0","0","0","0","0","0","26","0"
"District 23 - Absentee","473","10","11","0","3","198","60","3","0","2","1","0","369","7","25","72","73","0","3","0","2","1","2","669","206","82","1","3","144","62","1","0","2","3","2","2","0","1","0","2","0","0","1","0","0","123","1"
"District 23 - Early Voting","1166","32","30","0","3","281","76","4","1","7","4","1","250","9","23","63","48","0","1","0","3","0","3","893","214","85","0","4","134","83","4","0","7","2","6","6","0","0","0","1","1","0","0","0","0","71","1"
