"1","Goecker","Merrick","Blank","Exhausted","Overvote"
"23-805 Chugach Park No. 1","388","558","46","74","0"
"23-810 Eagle River No. 1","236","322","19","54","1"
"23-815 Eagle River No. 2","252","367","18","44","0"
"23-820 Hiland","200","371","16","51","0"
"23-825 Meadow Creek No. 1","275","383","15","47","3"
"23-830 Meadow Creek No. 2","168","220","10","24","1"
"24-850 Chugach Park No. 2","234","384","23","36","2"
"24-855 Chugiak","149","171","20","28","0"
"24-860 Eagle River No. 3","218","313","36","47","0"
"24-865 Eklutna","247","308","32","54","1"
"24-870 Fire Lake","262","385","25","50","3"
"24-875 Peters Creek No. 1","412","491","32","48","0"
"24-880 Peters Creek No. 2","215","246","27","38","0"
"District 23 - Absentee","795","1326","125","373","1"
"District 23 - Early Voting","1638","1547","77","254","1"
"District 23  - Question","43","80","9","11","0"
"District 24 - Absentee","592","972","98","257","3"
"District 24 - Early Voting","1557","1373","106","221","3"
"District 24  - Question","58","75","27","17","1"
"Total","7939","9892","761","1728","20"
