"1","Cottle","Tomaszewski","Blank","Overvote"
"34-235 Eielson","105","175","51","1"
"34-238 Eielson Farm Road","13","43","2","0"
"34-240 Farmers Loop","499","342","70","0"
"34-260 Salcha","120","376","38","2"
"34-263 Steele Creek","384","599","63","3"
"34-265 Steese","353","598","76","0"
"34-270 Summit","371","454","54","1"
"34-280 Two Rivers","164","301","38","0"
"District 34 - Absentee","626","701","168","0"
"District 34 - Early Voting","1117","1273","154","1"
"District 34  - Question","30","41","9","0"
"Total","3782","4903","723","8"
