"1","Jafre","Jafre","Jafre","Jafre","Kawasaki","Kawasaki","Kawasaki","Kawasaki","Matherly","Matherly","Matherly","Matherly","Blank","Overvote"
"2","","Kawasaki","Matherly","Overvote","","Jafre","Matherly","Overvote","","Jafre","Kawasaki","Overvote","",""
"31-446 Aurora","28","13","39","0","224","80","112","0","130","169","45","0","15","0"
"31-455 Fairbanks No. 1","27","10","33","0","266","94","129","0","137","165","33","0","18","0"
"31-480 Fairbanks No. 2","17","16","24","0","242","80","117","0","144","163","55","1","15","0"
"31-485 Fairbanks No. 3","28","10","27","0","204","66","108","0","95","141","44","0","6","2"
"32-355 Fairbanks No. 4","8","6","18","0","194","54","75","0","127","138","38","0","10","0"
"32-365 Fairbanks No. 5","5","5","16","0","144","36","73","0","120","112","37","0","4","0"
"32-375 Fort Wainwright","3","0","10","0","20","11","17","0","19","40","12","0","0","0"
"32-385 Badger No. 2","22","12","48","0","162","41","108","0","248","287","55","0","18","0"
"District 31 - Absentee","25","7","21","0","294","56","115","0","91","112","30","0","50","2"
"District 31 - Early Voting","19","6","16","0","391","118","150","1","128","132","37","0","20","3"
"District 31  - Question","1","0","2","0","14","9","3","0","10","6","2","0","86","1"
"District 32 - Absentee","10","3","19","0","132","32","64","0","80","112","15","0","20","1"
"District 32 - Early Voting","7","3","15","0","139","28","66","1","77","90","24","0","3","0"
"District 32  - Question","2","0","1","1","5","4","4","0","4","12","1","0","78","0"
"Total","202","91","289","1","2431","709","1141","2","1410","1679","428","1","343","9"
