"1","Kawasaki","Matherly","Blank","Exhausted","Overvote"
"31-446 Aurora","429","383","15","28","0"
"31-455 Fairbanks No. 1","499","368","18","27","0"
"31-480 Fairbanks No. 2","455","387","15","17","0"
"31-485 Fairbanks No. 3","388","307","6","28","2"
"32-355 Fairbanks No. 4","329","321","10","8","0"
"32-365 Fairbanks No. 5","258","285","4","5","0"
"32-375 Fort Wainwright","48","81","0","3","0"
"32-385 Badger No. 2","323","638","18","22","0"
"District 31 - Absentee","472","254","50","25","2"
"District 31 - Early Voting","666","313","20","19","3"
"District 31  - Question","26","20","86","1","1"
"District 32 - Absentee","231","226","20","10","1"
"District 32 - Early Voting","237","206","3","7","0"
"District 32  - Question","13","18","78","2","1"
"Total","4374","3807","343","202","10"
