"1","Pierce/Grunwald","Walker/Drygas","Blank","Exhausted","Overvote"
"House District 1","1746","2860","90","2184","8"
"House District 10","1937","3098","75","2030","13"
"House District 11","2386","3709","49","2041","5"
"House District 12","1619","3247","33","1863","12"
"House District 13","1497","2554","34","1701","4"
"House District 14","1174","3375","66","1527","13"
"House District 15","2100","3530","63","2011","5"
"House District 16","1599","4505","47","1904","13"
"House District 17","1000","3947","61","1446","11"
"House District 18","656","977","28","629","7"
"House District 19","782","1904","53","979","10"
"House District 2","1344","4005","111","2102","5"
"House District 20","1213","2807","27","1408","14"
"House District 21","1890","3251","47","2103","22"
"House District 22","1121","1572","31","1237","3"
"House District 23","2694","3085","58","2492","7"
"House District 24","2656","2661","47","2622","10"
"House District 25","3105","2427","57","2778","11"
"House District 26","3079","1440","76","2604","14"
"House District 27","2825","1313","65","2463","12"
"House District 28","2821","1631","43","2590","13"
"House District 29","3009","2334","49","2818","10"
"House District 3","1467","5318","73","1939","7"
"House District 30","2999","2111","99","2910","16"
"House District 31","1436","2587","58","1239","10"
"House District 32","1110","1327","25","942","2"
"House District 33","2784","1524","28","1913","7"
"House District 34","2414","3454","52","1762","11"
"House District 35","1901","4420","50","1502","5"
"House District 36","2085","3154","70","2625","18"
"House District 37","772","1702","88","1091","12"
"House District 38","757","1920","109","953","24"
"House District 39","678","2108","70","942","19"
"House District 4","877","5518","62","1245","11"
"House District 40","418","1284","33","738","3"
"House District 5","1341","2919","71","1652","6"
"House District 6","3270","3923","99","2547","8"
"House District 7","2730","2141","57","2499","16"
"House District 8","3539","2235","64","2944","11"
"House District 9","2675","4993","46","2562","8"
"Total","75506","112870","2364","75537","416"
