"1","Dunleavy/Dahlstrom","Pierce/Grunwald","Blank","Exhausted","Overvote"
"House District 1","3962","920","90","1911","5"
"House District 10","4062","823","75","2181","12"
"House District 11","4803","849","49","2483","6"
"House District 12","3802","725","33","2203","11"
"House District 13","3200","711","34","1840","5"
"House District 14","2683","904","66","2489","13"
"House District 15","4395","890","63","2357","4"
"House District 16","3908","924","47","3176","13"
"House District 17","2466","791","61","3134","13"
"House District 18","1174","367","28","723","5"
"House District 19","1719","501","53","1445","10"
"House District 2","3320","1105","111","3028","3"
"House District 20","2787","677","27","1967","11"
"House District 21","3897","892","47","2458","19"
"House District 22","2120","591","31","1218","4"
"House District 23","5325","874","58","2073","6"
"House District 24","5531","754","47","1657","7"
"House District 25","5820","844","57","1650","7"
"House District 26","5499","738","76","886","14"
"House District 27","5059","727","65","815","12"
"House District 28","5407","642","43","997","9"
"House District 29","5858","763","49","1544","6"
"House District 3","3698","1253","73","3770","10"
"House District 30","5586","886","99","1548","16"
"House District 31","2856","752","58","1656","8"
"House District 32","2192","426","25","762","1"
"House District 33","4647","710","28","864","7"
"House District 34","4428","968","52","2235","10"
"House District 35","3664","1118","50","3040","6"
"House District 36","4963","843","70","2058","18"
"House District 37","1959","534","88","1074","10"
"House District 38","2016","680","109","936","22"
"House District 39","2177","640","70","911","19"
"House District 4","2607","1012","62","4018","14"
"House District 40","1467","344","33","628","4"
"House District 5","3062","840","71","2011","5"
"House District 6","5001","1554","99","3185","8"
"House District 7","5115","975","57","1283","13"
"House District 8","6193","1171","64","1357","8"
"House District 9","5679","1049","46","3504","6"
"Total","154107","32767","2364","77075","380"
