"1","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Blank","Overvote"
"2","","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Overvote","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Overvote","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Overvote","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Overvote","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","",""
"3","","","Overvote","Pierce/Grunwald","Walker/Drygas","","","Gara/Cook","Overvote","Walker/Drygas","","Gara/Cook","Overvote","Pierce/Grunwald","","","Overvote","Pierce/Grunwald","Walker/Drygas","","","Dunleavy/Dahlstrom","Overvote","Walker/Drygas","","Dunleavy/Dahlstrom","Overvote","Pierce/Grunwald","","","Gara/Cook","Overvote","Walker/Drygas","","Dunleavy/Dahlstrom","Overvote","Walker/Drygas","","","Dunleavy/Dahlstrom","Gara/Cook","Overvote","","","Gara/Cook","Overvote","Pierce/Grunwald","","Dunleavy/Dahlstrom","Overvote","Pierce/Grunwald","","","Dunleavy/Dahlstrom","Gara/Cook","Overvote","",""
"01-600 Ketchikan No. 1","105","4","0","9","5","0","56","9","0","17","9","5","0","11","28","3","0","4","3","0","0","3","0","1","42","6","0","22","10","6","0","0","2","1","0","0","0","0","1","0","1","0","26","9","6","0","2","54","13","0","11","0","2","1","4","0","8","0"
"01-610 Ketchikan No. 2","201","8","0","10","3","0","58","16","1","16","12","6","0","20","38","3","0","1","4","0","1","1","0","4","42","11","0","22","9","12","3","0","1","0","0","0","1","0","1","2","1","0","65","7","10","0","7","64","15","0","35","0","2","5","6","0","14","1"
"01-620 Ketchikan No. 3","172","3","0","7","3","1","81","14","0","21","13","3","0","9","30","1","0","1","2","0","1","0","0","3","20","2","0","14","4","12","1","0","1","0","0","0","1","0","1","0","2","0","42","10","11","0","3","31","4","0","9","0","0","0","5","0","4","0"
"01-640 North Tongass No. 1","113","2","0","6","1","0","66","7","0","16","13","0","0","7","11","1","0","0","1","0","0","0","0","0","16","0","0","5","6","10","1","0","2","0","0","0","1","0","2","1","0","0","23","6","4","0","4","33","0","0","9","0","0","0","4","0","7","0"
"01-650 North Tongass No. 2","225","5","0","5","1","0","132","10","0","28","14","6","0","12","20","0","0","4","1","0","1","1","0","3","42","8","0","11","15","23","3","0","2","0","0","0","0","0","2","0","0","0","52","13","2","0","3","51","10","0","15","0","7","1","5","0","9","0"
"01-660 Saxman","26","0","0","1","1","1","3","3","0","3","1","1","0","1","12","0","0","0","0","0","0","2","0","1","4","1","0","3","4","1","0","0","0","0","0","0","0","0","1","0","0","0","23","2","1","0","0","5","3","0","5","0","1","0","3","0","1","0"
"01-670 South Tongass","150","1","0","4","3","0","98","13","0","39","16","10","0","18","17","5","0","0","1","0","0","1","0","1","46","0","0","10","8","14","1","0","4","0","0","0","0","0","1","4","0","0","54","7","4","0","4","68","7","0","24","0","5","2","3","0","6","0"
"01-675 Coffman Cove","32","0","0","1","2","0","10","2","0","5","6","0","0","2","2","0","0","0","0","0","1","0","0","0","1","1","0","1","5","0","0","0","0","0","0","0","0","0","1","0","0","0","6","0","1","0","1","4","1","0","0","0","0","0","0","0","2","0"
"01-680 Metlakatla","107","2","0","9","4","0","12","13","0","18","3","9","0","7","35","0","0","6","5","0","3","2","0","4","26","3","0","11","5","1","1","0","1","0","2","0","0","0","0","0","0","0","49","4","7","0","5","12","4","0","13","0","1","4","5","0","14","0"
"01-690 Wrangell","208","3","0","6","4","0","89","11","0","31","18","7","0","6","30","1","0","1","1","0","4","3","0","1","36","7","0","16","22","13","1","0","9","0","1","0","0","0","4","3","0","0","42","6","11","0","7","41","13","0","14","0","6","4","2","0","3","0"
"02-700 Angoon","20","1","0","3","0","1","2","0","0","0","1","1","0","1","21","1","0","3","0","0","1","1","0","3","6","0","0","2","7","0","0","0","0","0","0","0","1","0","0","0","1","0","38","0","2","0","2","3","1","0","5","0","0","0","0","0","4","0"
"02-705 Craig","94","1","0","1","0","0","45","4","0","13","5","3","0","7","22","2","0","3","0","0","1","1","0","1","23","7","0","7","7","6","0","0","1","0","0","0","1","0","1","5","0","0","26","3","2","0","1","14","6","0","8","0","1","2","1","0","8","0"
"02-720 Hoonah","62","2","0","3","1","0","17","1","0","9","5","2","0","4","35","0","0","1","2","0","1","1","0","1","13","1","0","6","14","2","1","0","2","0","0","0","1","0","0","2","0","0","43","2","2","0","3","2","1","0","5","0","1","0","2","0","3","0"
"02-725 Hydaburg","8","1","0","1","1","0","0","1","0","0","0","1","0","0","14","0","0","1","0","0","0","0","0","1","3","1","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","20","1","1","0","2","1","0","0","3","0","0","1","3","0","1","0"
"02-730 Kake","24","0","0","2","2","0","0","1","0","0","0","1","0","2","11","1","0","0","0","0","0","0","0","1","15","1","0","1","6","2","0","0","0","0","0","0","0","0","0","0","0","0","25","1","1","0","3","6","3","0","8","0","0","1","0","0","5","1"
"02-735 Kasaan","10","0","0","0","0","0","2","0","0","1","1","0","0","0","2","0","0","0","0","0","0","0","0","0","3","1","0","2","1","2","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"02-740 Klawock","72","1","0","5","2","1","26","5","0","17","7","0","0","9","14","2","0","1","3","0","1","1","0","6","10","5","0","9","6","8","0","0","2","0","0","0","1","0","1","3","0","0","30","2","2","0","1","10","1","0","10","0","0","1","1","0","5","0"
"02-750 Pelican-Elfin Cove","14","0","0","0","0","0","1","0","0","1","0","1","0","1","2","0","0","0","0","0","0","0","0","0","3","1","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","4","0","1","0","1","3","0","0","2","0","0","0","0","0","0","0"
"02-755 Petersburg-Kupreanof","206","1","0","3","2","0","87","9","0","19","16","4","0","17","42","2","0","2","2","0","2","3","0","6","54","11","0","17","19","17","2","0","4","1","0","0","0","0","6","4","3","0","96","19","2","0","9","100","11","0","33","0","6","6","11","0","7","0"
"02-760 Port Alexander","3","0","0","0","0","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","3","0","0","1","0","0","0","0","0","0","0"
"02-765 Sitka No. 1","201","3","0","10","4","0","73","18","0","31","24","13","0","22","65","2","0","2","3","0","2","0","0","10","104","11","0","43","18","13","2","0","4","0","1","0","3","0","2","4","2","0","101","14","5","0","23","130","22","0","49","0","5","4","12","0","20","1"
"02-770 Sitka No. 2","194","4","0","8","3","0","84","7","0","19","28","6","0","20","75","2","0","4","3","0","1","2","0","4","103","16","0","27","15","5","0","0","4","0","1","0","1","0","3","1","0","0","131","26","3","0","5","178","17","0","42","0","2","1","6","0","21","0"
"02-775 Tenakee Springs","4","0","0","0","0","0","1","0","0","1","0","0","0","0","4","0","0","0","0","0","0","0","0","0","15","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","1","7","0","0","0","0","1","0","1","0","1","0"
"02-780 Thorne Bay","57","0","0","2","0","0","31","4","0","12","2","0","0","3","4","1","0","1","2","0","0","0","0","1","9","1","0","2","4","3","1","0","2","0","0","0","0","0","0","2","0","0","2","1","1","0","1","2","0","0","3","0","2","1","0","0","4","0"
"02-785 Yakutat","26","0","0","1","0","0","15","1","0","10","4","2","0","4","9","0","0","0","1","0","0","0","0","4","13","4","0","5","1","0","0","0","1","0","0","0","0","0","0","0","0","0","32","2","3","0","3","15","5","0","14","0","0","1","3","0","1","0"
"03-300 Auke Bay","105","2","0","2","1","0","46","7","0","20","14","2","0","9","19","2","0","0","0","0","0","0","0","0","66","9","0","14","5","4","0","0","0","0","0","0","0","0","0","1","0","0","48","11","9","0","3","94","16","0","25","0","3","4","3","0","0","0"
"03-305 Lynn Canal","74","4","0","4","1","0","38","6","0","13","10","4","0","7","17","0","0","0","1","0","0","1","0","3","51","3","1","10","0","3","0","0","1","0","0","0","0","0","1","2","0","0","44","5","3","0","9","98","15","1","34","0","3","4","1","0","1","1"
"03-310 Melvin Park","104","5","0","4","2","0","59","4","0","19","15","2","0","7","17","2","0","0","3","0","1","2","0","4","37","11","0","24","5","7","0","0","3","1","0","0","0","0","3","4","0","0","49","12","11","0","6","72","13","0","28","0","2","4","4","0","4","1"
"03-315 Mendenhall Glacier","186","4","0","5","9","0","111","15","0","41","14","11","0","12","38","1","0","2","7","0","1","1","0","4","85","10","0","34","9","13","3","0","3","0","1","0","0","0","3","0","1","0","67","15","13","0","14","101","32","0","42","0","4","8","8","0","6","0"
"03-320 Thunder Mountain","235","4","0","6","3","0","76","11","0","24","15","6","0","16","46","4","0","2","4","0","1","0","0","6","76","5","0","22","10","8","0","0","2","0","0","0","0","0","3","3","1","0","77","15","8","0","10","88","15","0","31","0","2","6","5","0","6","0"
