"1","Bishop","Bishop","Bishop","Bishop","Bishop","Bishop","Bishop","Bishop","Bishop","Bishop","Bishop","Bishop","Bishop","Overvote","Verhagen","Verhagen","Verhagen","Verhagen","Verhagen","Verhagen","Verhagen","Verhagen","Verhagen","Verhagen","Verhagen","Williams","Williams","Williams","Williams","Williams","Williams","Williams","Williams","Williams","Williams","Williams","Williams","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Blank"
"2","","Overvote","Verhagen","Verhagen","Verhagen","Verhagen","Williams","Williams","Williams","Williams","Write-in","Write-in","Write-in","","","Bishop","Bishop","Bishop","Williams","Williams","Williams","Williams","Write-in","Write-in","Write-in","","Bishop","Bishop","Bishop","Overvote","Verhagen","Verhagen","Verhagen","Verhagen","Write-in","Write-in","Write-in","","Bishop","Bishop","Bishop","Verhagen","Verhagen","Verhagen","Williams","Williams","Williams",""
"3","","","","Overvote","Williams","Write-in","","Overvote","Verhagen","Write-in","","Verhagen","Williams","","","","Williams","Write-in","","Bishop","Overvote","Write-in","","Bishop","Williams","","","Verhagen","Write-in","","","Bishop","Overvote","Write-in","","Bishop","Verhagen","","","Verhagen","Williams","","Bishop","Williams","","Bishop","Verhagen",""
"36-066 Fort Yukon","37","0","5","0","9","0","0","0","12","0","0","0","0","1","21","1","3","0","3","5","0","0","0","0","0","14","0","4","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13"
"36-070 Gakona","33","0","5","0","5","0","1","0","3","0","0","0","0","0","11","6","1","0","2","1","0","0","0","0","0","7","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"36-074 Galena","51","0","4","0","14","0","1","0","15","0","0","0","0","0","8","3","3","0","0","2","0","0","0","0","0","10","3","4","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9"
"36-078 Glennallen","35","0","15","0","16","0","1","0","4","0","0","0","0","0","24","14","3","0","6","4","0","0","0","0","0","9","1","3","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9"
"36-082 Grayling","11","0","0","0","0","0","0","0","2","0","0","0","0","0","4","1","2","0","0","1","0","0","0","0","0","19","1","5","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"36-086 Holy Cross","3","0","0","0","1","0","0","0","2","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","5","3","4","0","1","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"36-090 Hughes","11","0","0","0","0","0","1","0","11","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","0","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"36-094 Huslia","38","0","1","0","8","0","0","0","20","0","0","0","0","0","1","0","2","0","0","1","0","0","0","0","0","1","1","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"36-098 Kaltag","29","0","0","0","2","0","0","1","5","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"36-102 Kenny Lake","49","0","13","0","11","0","5","0","11","0","2","0","0","0","15","5","8","0","0","1","0","0","0","0","0","14","1","4","0","0","2","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","9"
"36-106 Koyukuk","17","0","0","0","1","0","1","0","5","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
