"1","Baker","Baker","Baker","Baker","Baker","Baker","Baker","Baker","Baker","Burke","Burke","Burke","Burke","Burke","Burke","Burke","Burke","Chase","Chase","Chase","Chase","Chase","Chase","Chase","Chase","Chase","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Blank","Overvote"
"2","","Burke","Burke","Chase","Chase","Chase","Overvote","Write-in","Write-in","","Baker","Baker","Chase","Chase","Chase","Overvote","Write-in","","Baker","Baker","Burke","Burke","Burke","Overvote","Write-in","Write-in","","Baker","Baker","Baker","Burke","Chase","",""
"3","","","Chase","","Burke","Write-in","","","Chase","","","Chase","","Baker","Write-in","","Chase","","","Burke","","Baker","Write-in","","","Burke","","","Burke","Chase","Baker","Burke","",""
"40-002 Ambler","11","0","2","2","2","0","0","0","0","2","0","1","0","0","0","0","0","10","0","9","0","4","0","0","0","0","0","0","0","0","0","0","1","0"
"40-004 Anaktuvuk Pass","9","0","2","1","1","0","0","1","0","26","1","4","1","4","0","0","0","1","0","2","2","1","0","0","0","0","0","0","0","0","0","0","2","0"
"40-006 Atqasuk","7","0","1","0","1","0","0","0","0","14","2","6","1","2","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1"
"40-008 Utqiagvik","19","4","5","1","5","0","0","0","0","105","3","29","10","26","0","1","0","13","0","5","5","4","0","0","0","0","2","0","0","0","0","0","12","0"
"40-010 Browerville","42","3","8","2","11","2","1","0","0","253","6","97","21","94","4","0","1","37","3","12","10","18","0","0","1","0","5","0","0","1","0","1","11","3"
"40-012 Buckland","15","1","7","0","2","0","0","0","0","4","0","5","1","0","0","0","0","19","2","11","1","11","0","3","0","0","0","0","0","0","0","0","1","1"
"40-014 Deering","3","1","4","0","3","0","0","0","0","2","0","1","2","2","0","0","0","4","0","7","1","6","0","0","0","0","0","0","0","0","0","0","0","1"
"40-016 Kaktovik","14","0","0","0","2","0","0","0","0","38","0","2","1","5","0","0","0","5","0","1","0","0","0","0","0","0","1","0","0","0","0","0","4","0"
"40-018 Kiana","26","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0"
"40-020 Kivalina","17","0","2","0","6","0","0","0","0","13","0","0","0","3","0","0","0","14","1","3","1","1","0","0","0","0","0","0","0","0","0","0","1","0"
"40-022 Kobuk","5","0","0","0","1","0","0","0","0","2","0","1","1","1","0","0","0","21","2","0","1","0","0","0","0","0","0","0","0","0","0","0","2","1"
"40-024 Kotzebue","58","2","29","7","28","0","1","0","1","52","3","23","22","41","0","1","0","133","8","51","21","73","1","2","0","1","1","0","1","1","1","0","11","1"
"40-026 Noatak","20","0","5","0","6","0","1","0","0","12","0","7","1","8","0","0","0","17","0","10","2","12","0","0","0","0","0","0","0","0","0","0","3","1"
"40-028 Noorvik","26","0","3","2","5","0","0","0","1","17","0","3","0","4","0","0","0","15","0","7","0","9","0","0","0","0","0","0","0","0","0","1","3","0"
"40-030 Nuiqsut","8","0","0","0","1","0","0","0","0","21","1","3","1","3","0","1","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2","0"
"40-032 Point Hope","36","0","0","0","0","0","0","0","0","56","1","1","0","0","0","0","0","20","0","1","0","0","0","0","0","0","1","0","0","0","0","0","4","0"
"40-034 Point Lay","6","0","2","0","2","0","0","0","0","3","0","5","0","4","0","0","0","1","1","0","1","2","0","0","0","0","0","0","0","0","0","0","3","0"
"40-036 Selawik","23","0","5","0","9","0","0","0","0","2","0","1","0","1","0","0","0","15","2","7","1","7","0","0","0","0","0","0","0","0","0","0","5","0"
"40-038 Shungnak","20","0","0","0","4","0","1","0","0","3","0","3","0","2","0","0","0","5","1","7","0","3","0","0","0","0","0","0","0","0","0","0","1","0"
"40-040 Wainwright","25","1","8","0","3","0","0","0","0","46","0","13","1","9","0","0","0","8","0","3","0","2","0","1","0","0","0","0","0","0","0","0","7","2"
"District 40 - Absentee","79","2","13","0","14","0","0","0","0","87","4","24","30","35","1","0","0","48","5","8","28","17","1","0","0","0","2","1","0","0","1","0","21","0"
"District 40 - Early Voting","8","0","0","0","2","0","0","0","0","10","1","3","1","1","0","0","0","7","2","3","2","2","0","0","0","0","1","0","0","0","0","0","3","0"
"District 40  - Question","10","0","5","1","4","0","0","0","0","31","0","8","0","8","0","0","0","9","0","1","2","4","0","1","0","0","0","0","0","0","0","0","4","0"
"Total","487","14","101","16","112","2","4","1","2","805","22","240","94","253","5","3","1","430","27","148","78","178","2","7","1","1","13","1","1","2","2","2","104","11"
