"1","Insalaco","Insalaco","Insalaco","Johnson","Johnson","Johnson","Johnson","Storm","Storm","Storm","Blank","Overvote"
"2","","Johnson","Storm","","Insalaco","Overvote","Storm","","Insalaco","Johnson","",""
"House District 10","96","160","110","2335","910","1","265","1613","942","359","360","2"
"Total","96","160","110","2335","910","1","265","1613","942","359","360","2"
