"1","Insalaco","Insalaco","Insalaco","Insalaco","Insalaco","Insalaco","Insalaco","Insalaco","Johnson","Johnson","Johnson","Johnson","Johnson","Johnson","Johnson","Johnson","Johnson","Johnson","Johnson","Overvote","Storm","Storm","Storm","Storm","Storm","Storm","Storm","Storm","Storm","Storm","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Blank"
"2","","Johnson","Johnson","Johnson","Storm","Storm","Storm","Write-in","","Insalaco","Insalaco","Insalaco","Overvote","Storm","Storm","Storm","Write-in","Write-in","Write-in","","","Insalaco","Insalaco","Insalaco","Insalaco","Johnson","Johnson","Write-in","Write-in","Write-in","","Insalaco","Insalaco","Johnson","Johnson","Storm","Storm","Storm",""
"3","","","Storm","Write-in","","Johnson","Write-in","","","","Storm","Write-in","","","Insalaco","Write-in","","Insalaco","Storm","","","","Johnson","Overvote","Write-in","","Insalaco","","Insalaco","Johnson","","","Johnson","","Storm","","Insalaco","Johnson",""
"House District 10","91","89","65","1","51","58","1","3","2312","519","366","22","1","71","190","1","20","3","1","2","1603","479","437","2","8","117","238","9","12","3","24","2","5","3","2","1","4","1","336"
"Total","91","89","65","1","51","58","1","3","2312","519","366","22","1","71","190","1","20","3","1","2","1603","479","437","2","8","117","238","9","12","3","24","2","5","3","2","1","4","1","336"
