"1","Givens","Givens","Givens","Givens","Lawrence","Lawrence","Lawrence","Stapp","Stapp","Stapp","Stapp","Blank","Overvote"
"2","","Lawrence","Overvote","Stapp","","Givens","Stapp","","Givens","Lawrence","Overvote","",""
"32-355 Fairbanks No. 4","21","1","0","53","159","29","59","132","164","27","1","20","2"
"32-365 Fairbanks No. 5","33","2","0","52","121","20","54","101","123","13","0","33","0"
"32-375 Fort Wainwright","5","2","0","32","21","8","17","15","31","0","0","1","0"
"32-385 Badger No. 2","44","0","0","110","107","26","52","236","354","35","0","37","0"
"District 32 - Absentee","20","1","0","56","114","21","46","68","116","14","0","31","1"
"District 32 - Early Voting","17","2","1","37","122","19","39","69","114","11","0","20","2"
"District 32  - Question","2","0","0","3","2","0","3","3","7","1","0","91","0"
"Total","142","8","1","343","646","123","270","624","909","101","1","233","5"
