"1","Exhausted","Palin","Peltola","Blank"
"17-520 Downtown Anchorage No. 4","24","143","373","6"
"17-525 Downtown Anchorage No. 5","16","91","257","7"
"17-530 Downtown Anchorage No. 6","11","64","122","1"
"17-535 Downtown Anchorage No. 7","15","105","193","5"
"18-550 Government Hill","14","94","199","4"
"18-555 JBER","10","163","99","5"
"18-560 North Muldoon","11","77","133","4"
"18-565 Ship Creek","1","26","49","0"
"19-605 Airport Heights No. 1","30","164","524","7"
"19-610 Airport Heights No. 2","25","181","280","16"
"19-615 Mountainview No. 1","6","63","109","0"
"19-620 Mountainview No. 2","11","66","88","2"
"19-625 South Mountainview","19","118","146","5"
"20-650 University No. 1","6","47","87","5"
"20-655 University No. 2","18","203","260","7"
"20-660 University No. 3","27","214","449","10"
"20-665 University No. 4","17","95","221","2"
"20-670 University No. 5","49","436","574","7"
"21-705 East Anchorage No. 1","38","220","382","10"
"21-710 East Anchorage No. 2","56","344","330","6"
"21-715 East Anchorage No. 3","34","367","372","16"
"21-720 East Anchorage No. 4","38","281","440","6"
"21-725 East Anchorage No. 5","38","428","524","13"
"22-750 Northeast Anchorage No. 1","25","209","245","4"
"22-755 Northeast Anchorage No. 2","28","216","192","5"
"22-760 Northeast Anchorage No. 3","39","268","295","8"
"22-765 Northeast Anchorage No. 4","15","153","170","8"
"23-805 Chugach Park No. 1","65","561","473","12"
"23-810 Eagle River No. 1","56","363","247","16"
"23-815 Eagle River No. 2","37","289","313","4"
"23-820 Hiland","43","348","276","6"
"23-825 Meadow Creek No. 1","58","355","288","20"
"23-830 Meadow Creek No. 2","21","257","154","2"
"24-850 Chugach Park No. 2","64","404","252","4"
"24-855 Chugiak","17","184","121","6"
"24-860 Eagle River No. 3","37","278","163","13"
"24-865 Eklutna","49","369","270","17"
"24-870 Fire Lake","45","428","260","6"
"24-875 Peters Creek No. 1","81","565","325","10"
"24-880 Peters Creek No. 2","43","300","173","9"
"25-305 Butte","76","627","278","26"
"25-310 Greater Palmer","24","267","168","4"
"25-315 Lazy Mountain","55","408","217","10"
"25-320 Palmer City No. 1","33","284","233","5"
"25-325 Palmer City No. 2","26","201","125","4"
"25-330 Springer Loop","63","386","216","12"
"25-335 Walby","47","433","150","10"
"26-350 Fairview No. 1","33","339","67","9"
"26-355 Fairview No. 2","20","185","73","5"
"26-360 Knik Goose Bay No. 1","44","588","164","8"
"26-365 Knik Goose Bay No. 2","26","383","116","10"
"26-370 Knik Goose Bay No. 3","11","188","77","8"
"26-375 Mat-Su Campus","42","317","156","5"
"26-380 Snowshoe","73","590","165","24"
"27-405 Foothills","34","349","87","3"
"27-410 Meadow Lakes No. 1","40","534","158","11"
"27-415 Meadow Lakes No. 2","36","480","130","14"
"27-420 Wasilla No. 1","38","396","178","7"
"27-425 Wasilla No. 2","41","537","182","11"
"28-450 Lakes No. 1","32","359","134","2"
"28-455 Lakes No. 2","22","257","102","5"
"28-460 Seldon No. 1","43","456","132","5"
"28-465 Seldon No. 2","53","516","249","13"
"28-470 Seward Meridian","29","237","80","4"
"28-475 Trunk","26","405","173","13"
"28-480 Wasilla Lake","13","228","79","3"
"29-505 Farm Loop","51","543","236","30"
"29-510 Fishhook","62","712","308","12"
"29-515 Kings Lake","42","500","183","11"
"29-520 Lakes No. 3","17","195","84","4"
"29-525 Sheep Mountain","6","75","31","0"
"29-530 Sutton","30","210","134","5"
"29-535 Valdez No. 1","24","163","147","8"
"29-540 Valdez No. 2","5","95","82","6"
"29-545 Valdez No. 3","13","133","90","24"
"30-550 Anderson/Clear","6","69","28","2"
"30-555 Big Lake","82","694","230","19"
"30-560 Cantwell","5","35","38","2"
"30-565 Denali Park","3","8","83","0"
"30-570 East Schrock","2","43","16","0"
"30-575 Healy","14","137","147","3"
"30-580 Houston","20","331","99","14"
"30-585 Knik Goose Bay No. 4","49","606","173","21"
"30-590 Trapper Creek","12","111","34","9"
"30-595 Susitna","17","246","112","12"
"30-600 Talkeetna","16","103","220","8"
"30-605 Willow","48","531","254","15"
"31-446 Aurora","38","344","305","11"
"31-455 Fairbanks No. 1","60","319","401","10"
"31-480 Fairbanks No. 2","59","331","343","4"
"31-485 Fairbanks No. 3","17","238","217","15"
"32-355 Fairbanks No. 4","18","258","217","13"
"32-365 Fairbanks No. 5","22","233","180","8"
"32-375 Fort Wainwright","0","40","12","2"
"32-385 Badger No. 2","36","471","174","14"
"33-130 Badger No. 1","48","495","216","13"
"33-135 Chena Lakes","38","488","135","12"
"33-155 Moose Creek","6","70","16","0"
"33-165 Newby","47","577","175","29"
"33-175 North Pole","21","270","100","10"
"33-183 Plack","32","542","134","14"
"34-235 Eielson","4","57","30","1"
"34-238 Eielson Farm Road","4","28","7","0"
"34-240 Farmers Loop","32","265","438","23"
"34-260 Salcha","23","283","73","8"
"34-263 Steele Creek","44","472","379","14"
"34-265 Steese ","48","439","317","6"
"34-270 Summit","56","427","345","20"
"34-280 Two Rivers","17","234","124","7"
"35-580 Airport","14","138","85","3"
"35-582 Chena","55","526","664","21"
"35-584 Ester","15","149","326","2"
"35-586 Geist","12","163","242","12"
"35-587 Lakeview","6","62","29","2"
"35-592 Shanly","12","136","204","2"
"35-595 University Hills","17","134","354","11"
"35-596 University West","57","411","537","13"
"36-001 Goldstream No. 1","19","186","333","8"
"36-002 Goldstream No. 2","10","156","468","14"
"36-010 Allakaket","2","6","16","12"
"36-018 Arctic Village","0","3","11","5"
"36-022 Beaver","0","3","13","2"
"36-026 Bettles","0","8","5","0"
"36-034 Central","3","27","8","3"
"36-038 Chistochina","2","34","17","3"
"36-042 Circle","3","1","9","2"
"36-046 Copper Center","15","131","78","12"
"36-050 Delta Junction","6","176","35","6"
"36-054 Deltana","54","573","131","14"
"36-058 Dot Lake","1","27","2","2"
"36-062 Eagle","9","42","14","1"
"36-066 Fort Yukon","13","13","40","5"
"36-070 Gakona","7","42","32","3"
"36-074 Galena","8","31","75","3"
"36-078 Glennallen","7","90","27","3"
"36-090 Hughes","1","6","21","4"
"36-094 Huslia","4","8","56","2"
"36-098 Kaltag","6","12","21","1"
"36-102 Kenny Lake","7","78","34","3"
"36-106 Koyukuk","2","3","14","1"
"36-110 Manley","0","34","12","1"
"36-114 McGrath","8","29","32","2"
"36-118 Mentasta","2","11","14","1"
"36-122 Minto","3","10","22","0"
"36-126 Nenana","19","108","92","5"
