"1","Gray-Jackson","Sanders","Blank","Overvote"
"13-305 South Midtown No. 1","74","105","9","0"
"13-310 South Midtown No. 2","384","516","37","1"
"13-315 South Midtown No. 3","433","524","26","2"
"13-320 South Midtown No. 4","362","400","29","0"
"13-325 South Midtown No. 5","446","365","28","0"
"14-350 North Midtown No. 1","165","123","5","0"
"14-355 North Midtown No. 2","190","158","17","0"
"14-360 North Midtown No. 3","127","160","5","0"
"14-365 North Midtown No. 4","211","161","10","1"
"14-370 North Midtown No. 5","344","346","37","1"
"14-375 North Midtown No. 6","235","212","13","0"
"14-380 North Midtown No. 7","529","346","25","0"
"District 13 - Absentee","742","371","76","0"
"District 13 - Early Voting","394","318","18","0"
"District 13  - Question","17","22","91","0"
"District 14 - Absentee","995","345","76","0"
"District 14 - Early Voting","669","349","31","0"
"District 14  - Question","26","32","211","0"
"Total","6343","4853","744","5"
